l	fo
784	5455	0.032449999312
785	5456	0.03264196831
786	5457	0.032467372072
787	5458	0.031954007014
788	5459	0.030608486752
789	5460	0.030327627132
790	5461	0.030908456408
791	5462	0.031333509936
792	5463	0.031779989868
793	5464	0.032532519922
794	5465	0.032408594234
795	5466	0.031047438488
796	5467	0.03060645993
797	5468	0.03065133956
798	5469	0.031420663282
799	5470	0.03181965767
800	5471	0.032805272254
801	5472	0.032529914008
802	5473	0.031409660534
803	5474	0.028779714216
804	5475	0.028069457878
805	5476	0.028284590556
806	5477	0.02883299068
807	5478	0.029860299888
808	5479	0.031927079236
809	5480	0.0316618551
810	5481	0.028781161946
811	5482	0.028398092588
812	5483	0.029152359918
813	5484	0.031780858506
814	5485	0.03081348532
815	5486	0.02613297423
816	5487	0.025607158694
817	5488	0.028889741696
818	5489	0.03079466483
819	5490	0.032116731866
820	5491	0.032713486172
821	5492	0.033143172436
822	5493	0.03317618068
823	5494	0.032989133964
824	5495	0.032549603136
825	5496	0.031502894346
826	5497	0.031361306352
827	5498	0.031850349546
828	5499	0.032357923684
829	5500	0.03301113946
830	5501	0.034284273222
831	5502	0.033940003028
832	5503	0.03157933449
833	5504	0.030779318892
834	5505	0.030713302404
835	5506	0.031889438256
836	5507	0.031582809042
837	5508	0.029732320556
838	5509	0.029657038596
839	5510	0.030520175222
840	5511	0.032735202122
841	5512	0.033689835284
842	5513	0.034569765578
843	5514	0.034534730512
844	5515	0.033018957202
845	5516	0.03213815827
846	5517	0.031618712746
847	5518	0.031699785626
848	5519	0.03149102296
849	5520	0.030814353958
850	5521	0.030877474986
851	5522	0.031484942494
852	5523	0.033210636654
853	5524	0.03375672041
854	5525	0.033824474174
855	5526	0.033415635222
856	5527	0.032530203554
857	5528	0.030726331974
858	5529	0.02993616094
859	5530	0.02949460329
860	5531	0.029536877006
861	5532	0.030033737942
862	5533	0.031294421226
863	5534	0.03181241902
864	5535	0.03231043814
865	5536	0.032103123204
866	5537	0.031353199064
867	5538	0.029471729156
868	5539	0.029746218764
869	5540	0.032183616992
870	5541	0.032899374704
871	5542	0.032892715146
872	5543	0.031913470574
873	5544	0.031636954144
874	5545	0.031041937114
875	5546	0.031575859938
876	5547	0.034109097892
877	5548	0.035218059072
878	5549	0.035377019826
879	5550	0.034078406016
880	5551	0.033248277634
881	5552	0.032047819918
882	5553	0.031246067044
883	5554	0.030712723312
884	5555	0.030438812796
885	5556	0.0304602392
886	5557	0.031130827736
887	5558	0.031380705934
888	5559	0.031420373736
889	5560	0.031144725944
890	5561	0.031026012084
891	5562	0.031079288548
892	5563	0.030787136634
893	5564	0.030264216558
894	5565	0.029110665294
895	5566	0.029340854364
896	5567	0.030931909634
897	5568	0.031751035268
898	5569	0.032315649968
899	5570	0.032586665024
900	5571	0.032794269506
901	5572	0.033203108458
902	5573	0.03263617739
903	5574	0.03140271143
904	5575	0.028868315292
905	5576	0.02953948292
906	5577	0.033514659954
907	5578	0.034424992578
908	5579	0.032688874762
909	5580	0.032043187182
910	5581	0.031936634254
911	5582	0.032886345134
912	5583	0.032892715146
913	5584	0.032368636886
914	5585	0.031834424516
