 R.A.          Dec.         Vel
10.773885     -9.812365     15795
10.774980     -9.837334     14767
10.776510     -9.860992     17727
10.783785     -9.579012     14995
10.784085     -9.827035     15185
10.790715    -10.078548     15960
10.792125     -9.861465     15167
10.793355     -9.056859     17342
10.795440     -9.681647     16489
10.795605     -9.377683     16882
10.795635     -9.300099     15945
10.798260     -9.637826     16352
10.806930     -9.449235     16905
10.809750     -9.172602     15008
10.816260     -8.899054     14894
10.824435     -9.597549     17475
10.831470     -9.153409     15060
10.845120     -9.276518     16168
10.849230     -9.864849     14885
10.850190     -9.848671     17860
10.869150    -10.081034     17394
10.870410     -9.913635     15228
10.877010     -9.733163     15157
10.879815     -9.862886     16582
10.885350     -9.126492     16630
10.891845     -8.843606     14989
10.901280     -9.429911     15051
10.904187     -9.573762     17347
10.911540     -9.522396     15068
10.928520     -9.125459     16403
10.933230     -9.073021     14830
10.972575     -9.537357     16514
10.974180     -8.962656     16441
10.979520     -9.728811     16778
11.009430     -9.726333     16925
11.017170     -9.684804     14892
11.072310     -9.643737     16495
11.076675     -9.048582     17039
11.078580     -9.528787     16692
11.164515     -9.702679     17095
