RA,Dec,Vel,z,Cl_d,Delta,Rf,plt.mjd.fiber,M(parn),M(ave),M(IPn),M(IP),Act
10.39119,-8.932345,16888,0.056225,1.36,0.39215,-20.669,0655.52162.569,1.7125,S0/Sa,1.5,S0/Sa,NoE
10.391415,-9.198085,18732,NA,0.45,1.73901,-19.179,No_SDSS_Spec,1.13333,S0,1.5,S0/Sa,UNK
10.394325,-9.378625,17800,NA,0.36,2.29785,-18.804,No_SDSS_Spec,2.95,Sb,2.5,Sa/Sb,UNK
10.39464,-9.350082,17336,NA,0.29,3.13545,-20.73,No_SDSS_Spec,0.583333,E/S0,0.3,E,UNK
10.39533,-9.363961,14220,NA,0.32,2.38358,-21.524,No_SDSS_Spec,0.642857,E/S0,1.0,S0,UNK
10.395345,-9.868019,16367,0.054535,2.05,1.39842,-19.589,0656.52148.306,1.32222,S0/Sa,3.0,Sb,TO
10.395465,-9.0132,17550,0.058593,1.07,0.33937,-20.268,0655.52162.577,1.21111,S0,0.3,E,NoE
10.395585,-9.360957,17135,0.057001,0.31,3.39898,-19.916,0655.52162.510,0.866667,E/S0,0.3,E,NoE
10.39611,-9.093306,17828,0.059383,0.79,0.90239,-19.125,0656.52148.331,2.3,Sa/Sb,1.0,S0,NoE
10.396365,-9.810204,16539,0.055266,1.84,2.12091,-19.813,0655.52162.173,1.15,S0,2.0,Sa,NoE
10.39647,-9.070434,16199,NA,0.87,0.49521,-18.343,No_SDSS_Spec,3.69231,Sb/Sc,2.0,Sa/sb,UNK
10.40001,-9.187319,16657,0.055522,0.47,1.81115,-20.305,0656.52148.337,0.866667,E/S0,0.7,E/S0,NoE
10.400895,-9.325145,16342,0.054502,0.23,3.30424,-20.478,0656.52148.342,1.03333,S0,0.3,E,LLA
10.400925,-8.99296,17969,0.05977,1.14,0.37157,-20.498,0655.52162.578,1.12,S0,2.5,Sa/Sb,NoE
10.401165,-9.309751,15616,NA,0.21,2.82401,-18.552,No_SDSS_Spec,1.43333,S0/Sa,2.0,Sa,UNK
10.40493,-9.221005,17624,0.058678,0.36,2.73694,-20.277,0656.52148.349,1.13333,S0,1.5,S0/Sa,NoE
10.405155,-9.548171,17775,0.059318,0.91,1.30521,-20.121,0656.52148.360,1.15556,S0,1.0,S0,NoE
10.40835,-9.493917,14912,NA,0.71,1.12992,-18.396,No_SDSS_Spec,4.46154,Sc/Sdm,3.0,Sb,UNK
10.41243,-9.46331,17182,0.05718,0.6,0.90846,-19.205,0656.52148.341,1.71818,S0/Sa,0.3,E,NoE
10.41426,-9.414572,17957,0.059887,0.43,2.23699,-20.561,0656.52148.359,1.025,S0,2.0,Sa,NoE
10.4151,-9.458671,16651,NA,0.58,0.90846,-20.65,No_SDSS_Spec,2.36667,Sa/Sb,1.0,S0,UNK
10.417185,-9.304288,16888,NA,0.16,2.79388,-20.969,No_SDSS_Spec,0.583333,E/S0,0.7,E/S0,UNK
10.418115,-9.171654,16379,0.054598,0.5,1.41347,-20.234,0656.52148.323,1.79,Sa,1.0,S0,LLA
10.41984,-9.275459,15445,0.054796,0.18,2.99248,-19.412,0655.52162.517,1.67143,S0/sa,0.7,E/S0,NoE
10.422105,-9.315894,14265,0.047541,0.15,2.99,-21.2,0656.52148.354,1.025,S0,0.3,E,NoE
10.42242,-9.439271,16290,0.054342,0.51,1.72159,-19.774,0655.52162.514,1.02857,S0,0.3,E,NoE
10.42698,-9.357207,14742,0.049141,0.23,2.48837,-19.068,0656.52148.353,3.15385,Sb,1.0,S0,NoE
10.427205,-9.41946,18476,NA,0.44,2.04297,-18.482,No_SDSS_Spec,3.22,Sb,5.7,Im,UNK
10.42737,-8.965964,16197,NA,1.22,0.40705,-19.159,No_SDSS_Spec,1.39,S0/Sa,1.0,S0,UNK
10.42875,-9.104231,15982,0.053303,0.73,0.18641,-19.551,0656.52148.326,1.02222,S0,2.0,Sa,NoE
10.429005,-9.439277,16854,NA,0.5,1.72337,-22.473,No_SDSS_Spec,0.416667,E,0.3,E,UNK
10.43151,-9.42513,16970,0.056421,0.45,1.75963,-19.554,0656.52148.389,1.63333,S0/Sa,2.0,Sa,LLA
10.43502,-9.440383,17457,NA,0.5,1.65806,-19.333,No_SDSS_Spec,1.95,Sa,0.7,E/S0,UNK
10.43568,-9.458735,16448,NA,0.57,1.94461,-18.623,No_SDSS_Spec,2.21818,Sa,1.0,S0,UNK
10.43664,-9.338219,13885,0.046355,0.15,2.25027,-19.938,0655.52162.506,1.60909,S0/Sa,1.0,S0,NoE
10.43934,-9.675904,17063,0.056947,1.35,1.38126,-19.987,0656.52148.392,3.52727,Sb/Sc,4.0,Sc,SFG
10.44099,-9.442977,15966,0.053248,0.51,1.65806,-19.158,0655.52162.515,2.1,Sa,3.0,Sb,NoE
10.44105,-9.162418,15475,0.051599,0.51,0.72561,-20.612,0656.52148.322,1.17143,S0,0.3,E,LLA
10.44141,-9.478984,16834,NA,0.64,0.64448,-18.479,No_SDSS_Spec,1.89167,Sa,1.0,S0,UNK
10.443945,-8.979253,16860,NA,1.17,0.40705,-18.53,No_SDSS_Spec,1.76,Sa,1.5,S0/Sa,UNK
10.44495,-9.386899,17634,0.058908,0.31,2.25115,-20.802,0655.52162.516,0.866667,E/S0,1.5,S0/Sa,LLA
10.44681,-9.137061,16584,0.055273,0.6,0.53145,-20.211,0656.52148.340,0.7,E/S0,2.0,Sa,LLA
10.448925,-9.007875,15283,NA,1.07,0.40311,-18.832,No_SDSS_Spec,2.67692,Sa/Sb,2.5,Sa/Sb,UNK
10.449765,-9.381253,17216,NA,0.28,2.25115,-18.526,No_SDSS_Spec,2.30909,Sa/Sb,3.0,Sb,UNK
10.45041,-9.458373,17189,0.057303,0.56,1.8034,-19.839,0655.52162.511,1.02222,S0,1.0,S0,NoE
10.450965,-9.284301,15842,0.052856,0.08,1.3638,-21.492,0656.52148.398,0.583333,E/S0,0.3,E,NoE
10.451835,-8.890473,16693,0.055813,1.49,1.45373,-19.666,0655.52162.566,1.15,S0,1.0,S0,NoE
10.454175,-9.95127,15536,0.051776,2.34,2.36266,-20.917,0655.52162.161,4.05,Sc,4.0,Sc,SFG
10.45461,-9.484073,18388,NA,0.65,1.14936,-19.93,No_SDSS_Spec,0.8125,S0,1.0,S0,UNK
10.45659,-9.295198,15060,NA,0.03,1.54241,63.19,No_SDSS_Spec,3.00909,Sb,1.0,S0,UNK
10.459035,-9.429851,17339,0.057803,0.46,1.80086,-21.959,0655.52162.508,0.416667,E,0.3,E,SFG
10.45974,-9.471731,17278,0.057318,0.61,0.75542,-19.553,0656.52148.394,1.37778,S0/Sa,1.0,S0,NoE
10.45989,-9.327117,17879,0.059365,0.09,3.18923,-19.176,0655.52162.502,2.3375,Sa/Sb,0.3,E,NoE
10.46031,-9.303107,16613,0.055376,0.0,1.58373,-23.409,0656.52148.390,2.17,Sa,0.3,cD,A
10.46163,-9.22936,18041,NA,0.27,1.37008,-18.877,No_SDSS_Spec,4.33333,Sc/Sdm,4.5,Sc/Sdm,UNK
10.463595,-9.259088,15253,NA,0.16,1.26196,-18.863,No_SDSS_Spec,1.79,Sa,1.0,S0,UNK
10.46433,-9.287033,18020,NA,0.06,1.95434,-18.374,No_SDSS_Spec,2.18889,Sa,1.0,S0,UNK
10.46628,-9.616428,16210,0.054087,1.13,2.5891,-19.326,0655.52162.519,1.325,S0/Sa,1.5,S0/Sa,NoE
10.466295,-9.532869,16714,0.055864,0.83,0.3812,-20.071,0656.52148.383,1.03333,S0,1.5,S0/Sa,NoE
10.46736,-9.50411,17124,NA,0.73,1.24238,-22.092,No_SDSS_Spec,0.416667,E,1.5,S0/Sa,UNK
10.46931,-8.81217,15790,0.052743,1.77,1.68047,-19.738,0655.52162.570,1.71111,S0/Sa,3.5,Sb/Sc,TO
10.47015,-9.358375,18304,0.061087,0.2,2.54476,-19.959,0655.52162.509,1.03333,S0,1.5,S0/Sa,NoE
10.471305,-9.521198,17129,NA,0.79,0.7666,-19.912,No_SDSS_Spec,0.6875,S0,1.0,S0,UNK
10.47234,-9.489197,15777,NA,0.67,1.24238,-17.899,No_SDSS_Spec,2.68667,Sa/Sb,1.0,S0,UNK
10.47267,-9.64614,16068,NA,1.24,2.37436,-18.625,No_SDSS_Spec,3.71429,Sb/Sc,5.7,Im,UNK
10.472685,-9.494678,15326,0.050942,0.69,1.24238,-21.58,0656.52148.391,1.78333,Sa,3.0,Sb,LLA
10.47729,-9.432146,17138,0.057175,0.47,2.22424,-20.344,0656.52148.387,1.41429,S0/Sa,0.7,E/S0,NoE
10.477365,-9.320854,15026,NA,0.09,1.78405,-18.977,No_SDSS_Spec,1.62222,S0/Sa,1.0,S0,UNK
10.478175,-9.111456,15947,NA,0.69,0.54468,-20.453,No_SDSS_Spec,0.7,E/S0,0.7,E/S0,UNK
10.482225,-9.042987,17373,0.057934,0.94,1.13441,-20.184,0656.52148.324,0.583333,E/S0,1.5,S0/Sa,NoE
10.484745,-9.382383,17778,0.059336,0.3,1.50466,-19.493,0656.52148.388,0.785714,E/S0,0.3,E,NoE
10.485255,-8.697019,16991,0.056656,2.19,1.65922,-19.368,0655.52162.574,2.94167,Sb,3.0,Sb,NoE
10.48758,-9.713194,17693,0.059026,1.48,0.5805,-19.155,0656.52148.395,1.19,S0,2.0,Sa,NoE
10.488915,-9.589966,15885,0.05311,1.04,2.16443,-20.28,0656.52148.396,2.52727,Sa/Sb,3.0,Sb,A
10.489785,-9.282028,17151,0.057199,0.13,1.56864,-19.571,0655.52162.520,1.63333,S0/Sa,0.3,E,NoE
10.489875,-8.865641,17341,0.058056,1.58,1.36469,-19.39,0655.52162.572,3.44615,Sb/Sc,4.0,Sc,SFG
10.490325,-9.242445,18185,NA,0.24,2.28712,-18.383,No_SDSS_Spec,1.43333,S0/sa,1.0,S0,UNK
10.490745,-9.315422,15150,0.050457,0.12,1.78405,-19.365,0655.52162.503,1.025,S0,1.0,S0,NoE
10.490865,-9.306622,14350,NA,0.11,1.58373,-18.459,No_SDSS_Spec,4.83333,Sdm,4.5,Sc/Sdm,UNK
10.49193,-8.87133,16024,NA,1.56,1.36469,-20.198,No_SDSS_Spec,0.833333,S0,2.0,Sa,UNK
