HIP	Vmag	RA	DE	Plx	pmRA	pmDE	e_Plx	B-V	V-I
 13601	 7.41	 43.82200779	 16.30930363	  38.30	  203.76	  -47.24	  1.08	 0.749	 0.79
 13631	 9.74	 43.88386727	 18.77415085	  17.36	  282.82	 -146.54	  1.45	 0.839	 0.86
 13642	 7.52	 43.91202372	 26.87368205	  43.71	  262.72	 -191.44	  1.26	 0.953	 1.00
 13665	 5.59	 43.98642959	 61.52106281	  37.78	  145.07	   30.84	  0.69	 0.445	 0.51
 13674	 9.93	 44.03019299	  7.92265055	  19.81	  186.30	  -46.04	  4.00	 1.055	 1.11
 13677	 7.66	 44.04717747	 72.88621666	  16.23	   41.78	  -42.80	  1.34	 0.631	 0.70
 13678	 9.03	 44.05015070	 13.91318803	  23.04	  -82.41	  -72.34	  1.54	 0.810	 0.85
 13679	 5.97	 44.05720205	  8.38177807	  22.46	   69.83	  -88.32	  0.89	 0.478	 0.55
 13681	10.20	 44.05814797	-11.84703869	  21.35	  257.06	  -56.04	  1.57	 1.062	 1.12
 13685	 9.72	 44.06783767	-50.19125809	  18.02	  167.29	  224.45	  1.23	 0.968	 1.01
 13701	 3.89	 44.10668245	 -8.89760976	  24.49	   77.73	 -219.99	  0.72	 1.088	 1.08
 13702	 5.58	 44.10825985	 18.02365076	  28.24	  281.23	 -218.84	  0.93	 0.471	 0.54
 13717	 5.16	 44.15602146	 -3.71221461	  17.28	  -35.75	  -43.31	  0.93	 0.084	 0.10
 13718	 8.57	 44.15744552	-22.31031955	  24.62	  168.62	   90.79	  1.13	 0.781	 0.82
 13724	 8.21	 44.19476437	-13.23874824	  13.47	   44.33	   41.35	  1.03	 0.751	 0.79
 13725	 9.78	 44.19785540	-36.15195895	  17.32	 -171.34	 -267.13	  7.30	 0.720	 0.77
 13750	 7.90	 44.25278648	 10.16222460	  25.66	  -61.71	  -76.05	  1.08	 0.604	 0.67
 13754	 8.99	 44.26245332	-56.19221021	  26.81	  -36.55	   50.93	  0.75	 0.876	 0.92
 13758	10.45	 44.27488727	 -2.41894325	  15.99	  278.74	    2.38	  2.46	 1.009	 1.05
 13769	 7.84	 44.30490789	-24.97504103	  38.87	   15.44	  -32.54	  1.50	 0.960	 0.95
 13771	 8.81	 44.30639970	 58.36123644	  19.62	  152.24	 -302.80	  1.24	 0.670	 0.73
 13772	 7.33	 44.31121634	-24.96941710	  44.49	   30.21	  -36.90	  2.55	 0.863	 0.88
 13773	 7.56	 44.31208922	  1.88757198	  20.12	   99.25	 -101.38	  1.50	 0.577	 0.65
 13777	 9.69	 44.32987838	-68.52610545	  19.37	  146.44	  -66.48	  0.90	 0.913	 0.96
