       Wave            Flux
       3579.6686    -0.046314395
       3580.4929     -0.87864043
       3581.3175      -1.9896812
       3582.1422      0.98775812
       3582.9671       2.6471355
       3583.7923      -1.9083436
       3584.6176      -3.0836642
       3585.4431       1.0930426
       3586.2688      0.62711727
       3587.0946      -3.2400823
       3587.9207      -1.4944282
       3588.7470      0.58644804
       3589.5734     -0.82211782
       3590.4001      -1.3772417
       3591.2269      0.23726239
       3592.0539       3.0402377
       3592.8811       5.3959020
       3593.7085       1.8792525
       3594.5361      -1.6515523
       3595.3639      -1.2294083
       3596.1919      0.51343880
       3597.0200      -2.5702811
       3597.8484      0.36015176
       3598.6769       3.1549484
       3599.5057      -2.1413912
       3600.3346      -4.0669921
       3601.1637      0.12034888
       3601.9930       1.2858585
       3602.8225      -1.1988996
       3603.6522       1.5237555
       3604.4821       6.5701355
       3605.3122       2.6253304
       3606.1424      -2.5777413
       3606.9729      -1.4435094
       3607.8035     -0.11075112
       3608.6344      -2.0167599
       3609.4654      -2.4131260
       3610.2966      0.58437061
       3611.1280       2.7041015
       3611.9596      0.89088860
       3612.7914      -2.1728245
       3613.6234      -1.7225761
       3614.4556       1.9180854
       3615.2880     -0.16257352
       3616.1205      -4.5717386
       3616.9533     -0.24383584
       3617.7862      0.59222249
       3618.6194      -1.9167824
       3619.4527     -0.61846928
       3620.2862     -0.62597278
       3621.1199      -2.0917085
       3621.9538     -0.20788424
       3622.7879       1.2281137
       3623.6222     -0.60565050
       3624.4567      0.78450956
       3625.2914      -3.7677169
       3626.1262      -3.9322568
       3626.9613      -1.5158451
       3627.7965       1.1246456
       3628.6320     -0.97200162
       3629.4676       2.6359827
       3630.3034       5.6838226
       3631.1395      0.87448936
       3631.9757      0.25688810
       3632.8121       2.5045443
       3633.6487     -0.71710621
       3634.4855       1.1863971
       3635.3224      0.35941521
       3636.1596      -4.7272844
       3636.9970       2.4624413
       3637.8345       1.0185832
       3638.6723       1.2392309
       3639.5102       3.9003335
       3640.3484       3.5409920
       3641.1867       2.1965701
       3642.0252       2.4297150
       3642.8640       2.8031156
       3643.7029       3.4897895
       3644.5420       3.9014250
       3645.3813      -1.0390375
       3646.2208      -4.9896805
       3647.0604      -3.1688639
       3647.9003      -3.7110669
       3648.7404       3.9451682
       3649.5807      -4.5899593
       3650.4211     -0.68576131
       3651.2618     -0.60993981
       3652.1026       1.5412999
       3652.9436     -0.66965698
       3653.7849      -1.4177910
       3654.6263       2.7516255
       3655.4679      -1.5641059
       3656.3097       2.2569710
       3657.1518      -5.2086926
       3657.9940      -1.7034971
       3658.8363       6.9523378
       3659.6789      -2.0417934
       3660.5217      -1.4229246
       3661.3647       2.8718749
       3662.2079      0.41951822
       3663.0512      -2.7321450
       3663.8948      -1.6625179
       3664.7386      -1.7267098
       3665.5825      -2.4438364
       3666.4266      0.64609984
       3667.2710     -0.13478977
       3668.1155      -3.3754461
       3668.9602       2.6363161
       3669.8052      -1.8266381
       3670.6503     -0.48047342
       3671.4956      -2.0073483
       3672.3411       1.6882748
       3673.1868       2.3999091
       3674.0327     -0.36286484
       3674.8788       3.2570728
       3675.7251       4.2119332
       3676.5715      -2.3907949
       3677.4182      -3.3677660
       3678.2651      -4.8431384
       3679.1121     0.019528020
       3679.9594      -2.8909439
       3680.8069      0.44399627
       3681.6545       1.2436694
       3682.5023      0.76486003
       3683.3504      -3.4655299
       3684.1986      -1.0992594
       3685.0470       2.9919718
       3685.8957      0.33121013
       3686.7445      -2.7958342
       3687.5935     -0.82119327
       3688.4427      0.58533436
       3689.2921      0.20112209
       3690.1417       4.0828648
       3690.9915      0.77966446
       3691.8415      -3.0811707
       3692.6917       3.5809945
       3693.5421     -0.97189994
       3694.3927      0.58629837
       3695.2435      -2.1175381
       3696.0944      -2.9666143
       3696.9456      0.22105213
       3697.7970       1.2273809
       3698.6485     -0.21803114
       3699.5003       1.6450868
       3700.3522       3.3661511
       3701.2044      -1.9185333
       3702.0567       1.1487291
       3702.9093      0.18828120
       3703.7620      -2.4154411
       3704.6150      -2.4317336
       3705.4681      0.22263191
       3706.3214      -5.4421255
       3707.1749      -1.7832099
       3708.0287      0.65148779
       3708.8826      0.70393320
       3709.7367     -0.77815420
       3710.5910      -2.4462250
       3711.4455      0.72405781
       3712.3002      0.95029878
       3713.1551     -0.56227343
       3714.0102      -3.2975461
       3714.8655      0.32989624
       3715.7210      0.93632617
       3716.5767      0.90375752
       3717.4326       1.0991791
       3718.2887       2.5031080
       3719.1449      0.74179101
       3720.0014       1.6877206
       3720.8581       1.3309797
       3721.7150      -1.4936799
       3722.5720      0.82671756
       3723.4293       5.1888949
       3724.2868       9.8370923
       3725.1444       17.532884
       3726.0023       19.252833
       3726.8603       18.088137
       3727.7186       28.626362
       3728.5770       20.935388
       3729.4357       14.005192
       3730.2945       16.441383
       3731.1536       7.4315235
       3732.0128       1.6199287
       3732.8723       2.0068856
       3733.7319      -1.4483324
       3734.5917      -5.2114541
       3735.4518      -3.5701945
       3736.3120     -0.62749597
       3737.1724     -0.82865267
       3738.0331       2.5522359
       3738.8939     -0.38054882
       3739.7549     -0.55019762
       3740.6161       1.8446614
       3741.4776       2.4637490
       3742.3392      0.54956017
       3743.2010     -0.99808706
       3744.0630      0.59749653
       3744.9252       2.5630311
       3745.7877      0.31497418
       3746.6503      -2.8282014
       3747.5131      -4.3829954
       3748.3761      -4.5730334
       3749.2393       1.5551959
       3750.1027      -5.3227592
       3750.9663      0.97795076
       3751.8301       1.1439603
       3752.6941       1.7649823
       3753.5583       1.0519457
       3754.4227      -2.4875377
       3755.2873      -3.8847496
       3756.1521     -0.87445850
       3757.0171     -0.72335075
       3757.8823      -5.9994896
       3758.7477      -3.3575737
       3759.6133       2.0019275
       3760.4791     -0.43833014
       3761.3451       2.6975385
       3762.2113      -4.6855219
       3763.0777      0.26640053
       3763.9443      -1.3621887
       3764.8111     -0.15290128
       3765.6781      -1.7324617
       3766.5453     -0.71449251
       3767.4127       2.0223003
       3768.2803      0.40397719
       3769.1480      -4.0790573
       3770.0160      -4.2212442
       3770.8842      -1.3094681
       3771.7526      0.30056740
       3772.6212      0.98910073
       3773.4900      0.79606544
       3774.3590       1.3270158
       3775.2282       2.0801718
       3776.0976      0.21954200
       3776.9672       1.1910047
       3777.8370     -0.47560850
       3778.7070      0.59252528
       3779.5772     0.095462245
       3780.4476    -0.059073373
       3781.3181       2.1065965
       3782.1889       3.2741329
       3783.0599       2.6674568
       3783.9311       1.1422058
       3784.8025    -0.012994169
       3785.6741      0.78938697
       3786.5459      0.25962138
       3787.4179      -2.7927203
       3788.2901     -0.10187035
       3789.1625      -1.4333642
       3790.0351      -1.7701254
       3790.9079      0.39134126
       3791.7809      0.72951753
       3792.6541      -2.8884826
       3793.5275      -2.5465505
       3794.4011      -2.0159958
       3795.2749      -3.6240778
       3796.1490      -4.0226559
