l	fo
5486	0.84886412376
5487	0.84641190378
5488	0.7717638906
5489	0.74149953594
5490	0.73775266566
5491	0.78139761195
5492	0.79062009144
5493	0.78220486449
5494	0.77857984365
5495	0.77565545709
5496	0.77215228569
5497	0.77353832307
5498	0.78333197181
5499	0.78586796328
5500	0.78440577
5501	0.77699580093
5502	0.77287576674
5503	0.76735446399
5504	0.76550387562
5505	0.76615120077
5506	0.77116987458
5507	0.77050731825
5508	0.7657475745
5509	0.76314304272
5510	0.76111729578
5511	0.75786543885
5512	0.7648337037
5513	0.78491601453
5514	0.79355209359
5515	0.79340739738
5516	0.79511328954
5517	0.79729896387
5518	0.8010077562
5519	0.80231002209
5520	0.80418345723
5521	0.80152561632
5522	0.79516659867
5523	0.7811310663
5524	0.77533560231
5525	0.77490912927
5526	0.77409426114
5527	0.77398764288
5528	0.77354593866
5529	0.77733088689
5530	0.78857149773
5531	0.79304946465
5532	0.79381102365
5533	0.78857911332
5534	0.78849534183
5535	0.79009461573
5536	0.79248591099
5537	0.79588246413
5538	0.80130476421
5539	0.80308681227
5540	0.8028354978
5541	0.80181500874
5542	0.7997131059
5543	0.79573776792
5544	0.79509044277
5545	0.79569207438
5546	0.79816714113
5547	0.8055009543
5548	0.80916405309
5549	0.81035208513
5550	0.8071763841
5551	0.80673467988
5552	0.80834156937
5553	0.80808263931
5554	0.80662806162
5555	0.80325435525
5556	0.80094683148
5557	0.79858599858
5558	0.79676587257
5559	0.79537983519
5560	0.79559307171
5561	0.79215082503
5562	0.78437530764
5563	0.77954702358
5564	0.77605908336
5565	0.77394956493
5566	0.77304330972
5567	0.77419326381
5568	0.77484820455
5569	0.77561737914
5570	0.77614285485
5571	0.77857984365
5572	0.78329389386
5573	0.78643151694
5574	0.78901320195
5575	0.79081809678
5576	0.79334647266
5577	0.79700957145
5578	0.79833468411
5579	0.79943132907
5580	0.79722280797
5581	0.79218128739
5582	0.78244856337
5583	0.77514521256
5584	0.76791040206
5585	0.76143715056
5586	0.75560360862
5587	0.749374056
5588	0.74707414782
5589	0.74803371216
5590	0.75021938649
5591	0.75405764385
5592	0.76070605392
5593	0.76478801016
5594	0.76865672988
5595	0.77052254943
5596	0.77079671067
5597	0.76904512497
5598	0.76749154461
5599	0.76320396744
5600	0.76321919862
5601	0.76577042127
5602	0.77134503315
5603	0.77710241919
5604	0.78528917844
5605	0.79167104286
5606	0.79737511977
5607	0.80271364836
5608	0.80533341132
5609	0.80686414491
5610	0.80454900555
5611	0.79646124897
5612	0.79005653778
5613	0.78416968671
5614	0.77766597285
5615	0.77502336312
5616	0.77527467759
5617	0.77731565571
5618	0.781359534
5619	0.78955390884
5620	0.7926306072
5621	0.79167865845
5622	0.79228790565
5623	0.79328554794
5624	0.79458781383
5625	0.79660594518
5626	0.7978853643
5627	0.80255372097
5628	0.80964383526
5629	0.82140992181
5630	0.8256061119
5631	0.82617728115
5632	0.82418961216
5633	0.81937655928
5634	0.81026831364
5635	0.8063386692
5636	0.80515825275
5637	0.80317058376
5638	0.80112199005
5639	0.79960648764
5640	0.79854792063
5641	0.79874592597
5642	0.79717711443
5643	0.79310277378
5644	0.79106179566
5645	0.79030785225
5646	0.79170912081
5647	0.7917928923
5648	0.79116841392
5649	0.79115318274
5650	0.79150349988
5651	0.79371963657
5652	0.79116079833
5653	0.78403260609
5654	0.7782371421
5655	0.77249498724
5656	0.76640251524
5657	0.76195501068
5658	0.75699726159
5659	0.756228087
5660	0.75852799518
5661	0.76500886227
5662	0.76931928621
5663	0.77497005399
5664	0.77767358844
5665	0.7785417657
5666	0.77681302677
5667	0.77768120403
5668	0.77772689757
5669	0.78231148275
5670	0.79395571986
5671	0.80178454638
5672	0.80735154267
5673	0.81046631898
5674	0.81181427841
5675	0.81095371674
5676	0.80856242148
5677	0.80451854319
5678	0.79792344225
5679	0.79250114217
5680	0.78599742831
5681	0.7816641576
5682	0.77885400489
5683	0.77921193762
5684	0.77529752436
5685	0.764605236
5686	0.76232817459
5687	0.76507740258
5688	0.77462735244
5689	0.78191547207
5690	0.79204420677
5691	0.79852507386
5692	0.80294973165
5693	0.80524963983
5694	0.80577511554
5695	0.80378744655
5696	0.80136568893
5697	0.7979615202
5698	0.79305708024
5699	0.79035354579
5700	0.78910458903
5701	0.78704837973
5702	0.78443623236
5703	0.78233432952
5704	0.78058274382
5705	0.77969933538
5706	0.77765074167
5707	0.77364494133
5708	0.77168011911
5709	0.77104802514
5710	0.77082717303
5711	0.77489389809
5712	0.78504547956
5713	0.79228790565
5714	0.79846414914
5715	0.80358182562
5716	0.80764093509
5717	0.81106795059
5718	0.81253775946
5719	0.81236260089
5720	0.80987991855
5721	0.80857765266
5722	0.80722969323
5723	0.8058817338
5724	0.80452615878
5725	0.80328481761
5726	0.80132761098
5727	0.79825852821
5728	0.79646124897
5729	0.79530367929
5730	0.79481628153
5731	0.79469443209
5732	0.79515898308
5733	0.79580630823
5734	0.79761120306
5735	0.79819760349
5736	0.79793105784
5737	0.79640032425
5738	0.79528844811
5739	0.79289715285
5740	0.79266868515
5741	0.79394810427
5742	0.79787774871
5743	0.79955317851
5744	0.80055843639
5745	0.80084782881
5746	0.80042135577
5747	0.79873069479
5748	0.79844891796
5749	0.79853268945
5750	0.79944656025
5751	0.8010839121
5752	0.80393975835
5753	0.80531056455
5754	0.80654429013
5755	0.80632343802
5756	0.80497547859
5757	0.80266795482
5758	0.79833468411
5759	0.79024692753
5760	0.78586034769
5761	0.78193070325
5762	0.78167177319
5763	0.78465708447
5764	0.79375009893
5765	0.79815190995
5766	0.80109914328
5767	0.80234048445
5768	0.80192924259
5769	0.79975879944
5770	0.79623278127
5771	0.78832779885
5772	0.78451238826
5773	0.78314158206
5774	0.78558618645
5775	0.78574611384
5776	0.78831256767
5777	0.78499217043
5778	0.77760504813
5779	0.76317350508
5780	0.75647940147
5781	0.75199381896
5782	0.75136172499
5783	0.75419472447
5784	0.7617113118
5785	0.76690514418
5786	0.77279199525
5787	0.77758220136
5788	0.7817403135
5789	0.78563949558
5790	0.78668283141
5791	0.79030785225
5792	0.78046089438
5793	0.73885692621
5794	0.72735738531
5795	0.73702918461
5796	0.78915028257
5797	0.80198255172
5798	0.78202209033
5799	0.77943278973
5800	0.78544910583
5801	0.80627012889
5802	0.81613231794
5803	0.82272741888
5804	0.82715207667
5805	0.8291854392
5806	0.82667991009
5807	0.82946721603
5808	0.83677818243
5809	0.84102768165
5810	0.84391399026
5811	0.84618343608
5812	0.84404345529
5813	0.83431834686
5814	0.83156150328
5815	0.83217836607
5816	0.83680864479
5817	0.84162169767
5818	0.85146103995
5819	0.85440827328
5820	0.8536314831
5821	0.84909259146
5822	0.84104291283
5823	0.82466939433
5824	0.81722134731
5825	0.81742696824
5826	0.81533268099
5827	0.81245398797
5828	0.80719923087
5829	0.80581319349
5830	0.808775658
5831	0.80935444284
5832	0.80876804241
5833	0.80651382777
5834	0.80475462648
5835	0.80072597937
5836	0.80064220788
5837	0.80320866171
5838	0.81012361743
5839	0.81337547436
5840	0.81658163775
5841	0.81673394955
5842	0.81451781286
5843	0.80909551278
5844	0.80500594095
5845	0.79975118385
5846	0.79635463071
5847	0.79406233812
5848	0.79340739738
5849	0.7909551774
5850	0.78635536104
5851	0.78514448223
5852	0.7869950706
5853	0.78876950307
5854	0.79087140591
5855	0.79553976258
5856	0.79448881116
5857	0.78370513572
5858	0.78099398568
5859	0.78347666802
5860	0.79446596439
5861	0.80074121055
5862	0.80622443535
5863	0.81125072475
5864	0.81575915403
5865	0.81952887108
5866	0.8235499026
5867	0.8259868914
5868	0.83140157589
5869	0.83881916055
5870	0.84619105167
5871	0.86347844097
5872	0.89942402577
5873	0.91565284806
5874	0.92125030671
5875	0.91546245831
5876	0.90254641767
5877	0.87605178006
5878	0.85253483814
5879	0.8277384771
5880	0.7983422997
5881	0.78652290402
5882	0.79437457731
5883	0.7857004203
5884	0.76342481955
5885	0.74659436565
5886	0.73255883328
5887	0.72129537567
5888	0.71293345785
5889	0.70751115777
5890	0.70484570127
5891	0.70495993512
5892	0.7077167787
5893	0.71372547921
5894	0.72455484819
5895	0.73504151562
5896	0.74619835497
5897	0.75871076934
5898	0.76952490714
5899	0.78088736742
5900	0.78893704605
5901	0.79452688911
5902	0.79762643424
5903	0.7984184556
5904	0.79448881116
5905	0.79338455061
5906	0.79327031676
5907	0.79490005302
5908	0.79389479514
5909	0.79084094355
5910	0.78903604872
5911	0.78761193339
5912	0.7867666029
5913	0.78503786397
5914	0.78208301505
5915	0.78108537276
5916	0.78186216294
5917	0.78247141014
5918	0.78320250678
5919	0.78464946888
5920	0.78447431031
5921	0.78323296914
5922	0.78134430282
5923	0.77873215545
5924	0.77422372617
5925	0.77273107053
5926	0.77410949232
5927	0.77422372617
5928	0.77390387139
5929	0.77253306519
5930	0.77301284736
5931	0.77477204865
5932	0.77662263702
5933	0.77883115812
5934	0.78179362263
5935	0.78347666802
5936	0.78471800919
5937	0.78510640428
5938	0.78474085596
5939	0.78327866268
5940	0.78285218964
5941	0.7829588079
5942	0.78269987784
5943	0.78231909834
5944	0.78180123822
5945	0.78125291574
5946	0.78068936208
5947	0.77992780308
5948	0.7786940775
5949	0.77787159378
5950	0.77733850248
5951	0.77745273633
5952	0.77675971764
5953	0.775267062
5954	0.77424657294
5955	0.77346216717
5956	0.77253306519
5957	0.77310423444
5958	0.775267062
5959	0.77716334391
5960	0.77918147526
5961	0.78179362263
5962	0.78276080256
5963	0.78241810101
5964	0.78207539946
5965	0.7814356899
5966	0.7795317924
5967	0.78160323288
5968	0.78860196009
5969	0.7913359569
5970	0.79215082503
5971	0.79076478765
5972	0.78895227723
5973	0.78496932366
5974	0.7826541843
5975	0.78092544537
5976	0.77987449395
5977	0.77949371445
5978	0.78088736742
5979	0.77988972513
5980	0.77674448646
5981	0.77414757027
5982	0.77166488793
5983	0.76853488044
5984	0.76781901498
5985	0.76890804435
5986	0.77084240421
5987	0.77379725313
5988	0.77873977104
5989	0.78142045872
5990	0.78309588852
5991	0.78410876199
5992	0.78438292323
5993	0.78348428361
5994	0.78359090187
5995	0.78472562478
5996	0.78449715708
5997	0.78346905243
5998	0.78132907164
5999	0.77988210954
6000	0.77916624408
6001	0.77691964503
6002	0.77372871282
6003	0.76868719224
6004	0.7679560956
6005	0.77117749017
6006	0.77159634762
6007	0.76991330223
6008	0.76928120826
6009	0.7692507459
6010	0.77030931291
6011	0.77062916769
6012	0.77073578595
