# Matter power spectrum P(k) at redshift z=50
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.177953806914e-02       1.530835988226e+01 
       2.191166481961e-02       1.527779212799e+01 
       2.204388138394e-02       1.524669902588e+01 
       2.217618956478e-02       1.521510656431e+01 
       2.230859120836e-02       1.518297808371e+01 
       2.244108820548e-02       1.515036167435e+01 
       2.257368249257e-02       1.511727565274e+01 
       2.270637605277e-02       1.508370808367e+01 
       2.283917091708e-02       1.504965019980e+01 
       2.297206916549e-02       1.501515685424e+01 
       2.310507292820e-02       1.498019624913e+01 
       2.323818438680e-02       1.494482662526e+01 
       2.337140577562e-02       1.490897616147e+01 
       2.350473938296e-02       1.487275587191e+01 
       2.363818755247e-02       1.483610957780e+01 
       2.377175268458e-02       1.479905717929e+01 
       2.390543723787e-02       1.476160388688e+01 
       2.403924373063e-02       1.472379147404e+01 
       2.417317474233e-02       1.468558252658e+01 
       2.430723291522e-02       1.464699242758e+01 
       2.444142095598e-02       1.460807792667e+01 
       2.457574163740e-02       1.456879078245e+01 
       2.471019780008e-02       1.452918065505e+01 
       2.484479235430e-02       1.448919913912e+01 
       2.497952828182e-02       1.444894652058e+01 
       2.511440863780e-02       1.440834377550e+01 
       2.524943655283e-02       1.436743954495e+01 
       2.538461523491e-02       1.432623948701e+01 
       2.551994797163e-02       1.428473150898e+01 
       2.565543813231e-02       1.424293155864e+01 
       2.579108917030e-02       1.420092696751e+01 
       2.592690462528e-02       1.415856905872e+01 
       2.606288812571e-02       1.411598663683e+01 
       2.619904339133e-02       1.407313164234e+01 
       2.633537423576e-02       1.403005557086e+01 
       2.647188456914e-02       1.398672259879e+01 
       2.660857840094e-02       1.394314947139e+01 
       2.674545984285e-02       1.389932663734e+01 
       2.688253311172e-02       1.385533176726e+01 
       2.701980253265e-02       1.381112010836e+01 
       2.715727254222e-02       1.376666116659e+01 
       2.729494769174e-02       1.372204737574e+01 
       2.743283265076e-02       1.367721975812e+01 
       2.757093221056e-02       1.363222887942e+01 
       2.770925128788e-02       1.358704558315e+01 
       2.784779492874e-02       1.354169211832e+01 
       2.798656831242e-02       1.349613299242e+01 
       2.812557675556e-02       1.345047599358e+01 
       2.826482571649e-02       1.340464714157e+01 
