SDSS  Name1                RA          DEC       z       Morp  R50   IC    L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Name2
SDSS  J092110.80+455316.1  140.29503  +45.88782  0.0064  Sd     0.3  2.21   9.41    8.46  -0.432  -0.378  SFG  5.25   79  41.20  KUG_0917+461
SDSS  J093923.05+470736.5  144.84607  +47.12683  0.0273  Sab    8.6  2.92  10.97    9.28  -0.190  -0.135  TO   6.67  159  42.83  CGCG_239-017
SDSS  J094058.13+473713.6  145.24225  +47.62045  0.0161  Sc     8.4  2.52  10.53    8.80  -0.515  -0.433  SFG  6.60  105  42.08  UGC_05157
SDSS  J124957.87+051841.0  192.49113  +05.31141  0.0022  Sd     1.7  1.92   9.20    8.48  -0.046  -0.321  TO   4.27   72  40.60  NGC_4713
SDSS  J125112.88+045132.5  192.80371  +04.85905  0.0251  Sb     9.3  2.33  11.08    9.23   0.077   0.077  AGN  6.63  129  43.00  NGC_4734
SDSS  J133439.26+040747.8  203.66359  +04.12996  0.0229  Sc     9.3  2.11  10.62    8.21  -0.825  -0.345  SFG  7.59  109  42.68  NGC_5213_NED02
SDSS  J133229.74+033543.8  203.12393  +03.59551  0.0349  Sab   10.7  2.50  10.78    9.41  -0.804  -0.363  SFG  7.32  149  42.73  CGCG_045-005
SDSS  J084225.76+371315.7  130.60736  +37.22104  0.0129  Sa     5.0  3.11  10.77    9.27   0.183   0.187  AGN  6.41  164  42.62  NGC_2638
SDSS  J100323.33+482157.0  150.84721  +48.36585  0.0247  Sa     8.0  2.63  10.81    9.71   0.354   0.208  AGN  6.32  155  42.89  CGCG_239-054
SDSS  J120709.23+534017.2  181.78848  +53.67146  0.0590  Sa    21.9  2.71  11.37    9.94   0.363   0.316  AGN  6.92  217  43.48  MCG_+09-20-097
SDSS  J121131.38+515148.5  182.88078  +51.86348  0.0295  Sc     9.8  2.30  10.63    8.87  -0.566  -0.435  SFG  6.66   98  42.54  MCG_+09-20-108
SDSS  J080707.17+361400.4  121.77991  +36.23347  0.0323  Sb     8.8  2.80  11.17    9.16   0.911  -0.097  AGN  7.33  150  43.11  IC_2227
SDSS  J082519.66+391855.5  126.33192  +39.31544  0.0566  Sab   17.9  3.27  11.31    8.77  -0.434  -0.332  SFG  7.45  195  43.46  2MASX_J08251962+3918562
SDSS  J091455.67+465411.0  138.73197  +46.90308  0.0141  Sab    6.6  2.44  10.62    9.37  -0.391  -0.281  TO   6.39  107  42.10  UGC_04870
SDSS  J095749.08+514916.2  149.45452  +51.82119  0.0249  Sc     6.9  1.97  10.63    8.81  -0.400  -0.260  TO   6.53   89  42.48  KUG_0954+520
SDSS  J101715.98+532742.8  154.31662  +53.46190  0.0455  Sb    19.8  1.96  11.18    9.69   0.055   0.210  AGN  6.22  169  43.14  UGC_05549
SDSS  J104438.23+562210.7  161.15930  +56.36967  0.0240  Sab    9.0  2.21  10.87    9.03  -0.482  -0.222  TO   7.28  151  42.66  CGCG_290-067
SDSS  J142711.81-021544.6  216.79922  -02.26241  0.0238  Sc    13.3  1.94  10.87    9.59   0.283   0.020  AGN  5.93  120  42.66  NGC_5618
SDSS  J145207.95-023147.0  223.03313  -02.52975  0.0065  Sd     3.5  2.01  10.19    8.29  -0.562  -0.413  SFG  6.11   92  41.85  NGC_5768
SDSS  J145804.80-014712.7  224.52000  -01.78688  0.0410  Sab   10.4  3.13  10.94    9.23   0.117   0.105  AGN  6.46  146  43.17  2MFGC_12131
SDSS  J074330.37+225549.8  115.87658  +22.93053  0.0242  Sb     9.9  2.45  10.69    8.72  -0.545  -0.357  SFG  7.17  104  42.33  UGC_03987
SDSS  J084408.27+344302.0  131.03446  +34.71724  0.0141  Sc     9.2  1.87  10.67    9.54   0.081  -0.150  TO   5.21   90  41.99  NGC_2649
SDSS  J101954.92+453259.1  154.97885  +45.54976  0.0023  Sc     0.9  1.95  10.01    9.04  -0.631  -0.362  SFG  5.11   89  40.59  NGC_3198
SDSS  J102240.72+461419.2  155.66969  +46.23868  0.0169  Sc    11.1  2.03  10.39    9.32  -0.267  -0.221  TO   5.45   84  41.88  UGC_05604
SDSS  J100018.90+543218.9  150.07878  +54.53861  0.0053  Sd     2.1  2.41   9.35    8.47  -0.072  -0.598  SFG  5.55   NA  41.06  UGC_05369
SDSS  J125244.49+591556.2  193.18538  +59.26562  0.0430  Sa    12.8  2.15  11.04    9.39  -0.626  -0.340  SFG  7.06  173  43.08  CGCG_293-039
SDSS  J204052.08+003909.9  310.21702  +00.65277  0.0268  Sb    10.6  2.59  10.83    8.90  -0.196  -0.314  TO   6.29   NA  42.42  UGC_11612
SDSS  J205222.37+000432.6  313.09324  +00.07573  0.0303  Sb    11.5  2.16  11.15    9.08  -0.638  -0.392  SFG  6.87  128  42.94  CGCG_374-021
SDSS  J092217.59+044230.0  140.57331  +04.70833  0.0280  Sab    9.9  2.30  10.77    9.45   0.484   0.173  AGN  6.53  127  42.69  UGC_04980
SDSS  J093438.63+055029.1  143.66100  +05.84144  0.0184  Sc     7.7  2.05  10.58    8.85  -0.535  -0.188  TO   6.76  115  42.32  UGC_05100
SDSS  J102915.49+060741.0  157.31457  +06.12807  0.0120  Sc     7.1  2.59   9.98    8.97  -0.145  -0.531  SFG  5.79   NA  41.52  UGC_05687
SDSS  J105231.11+071329.6  163.12964  +07.22490  0.0218  Sb     6.5  2.19  10.83    8.44  -0.684  -0.452  SFG  6.99  103  42.68  NGC_3441
SDSS  J104454.42+512930.0  161.22675  +51.49167  0.0252  Sc     7.2  2.23  10.54    8.90  -0.866  -0.490  SFG  6.56   89  42.43  SBS_1041+517
SDSS  J113050.46+542340.4  172.71029  +54.39457  0.0190  Sb     5.8  2.70  10.31    9.02  -0.468  -0.391  SFG  6.67   NA  42.05  SBS_1128+546
