z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    V98               sigma           RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.251985      7.946811      43.924000      -1.163332      2.635000      1.000000      0.654895      -0.040316      2.578824      -954.838127       211.477788      42.34153290       -7.04383280      51910      0456      610
0.262507      8.031176      44.094900      -1.076796      2.789000      3.000000      0.901922      -1.554154      2.493642      -934.123164       336.321937      53.05108130       -5.84515160      51910      0461      457
0.226208      7.938212      44.036500      -1.042233      2.941000      1.000000      0.820901      0.042451       2.578826      -968.814265       326.296348      62.23809890       -6.67055060      51910      0465      188
0.318491      8.093599      44.155900      -1.078220      2.868000      3.000000      0.555422      -0.955625      2.487972      -711.581579       254.004815      62.28703900       -4.99165120      51910      0465      528
0.292248      7.788910      44.214400      -0.715030      2.473000      2.500000      0.917332      -1.546315      2.543211      -1166.959082      410.796091      143.03147510      61.92717270      51910      0486      341
0.261001      7.713521      44.126800      -0.727242      2.828000      1.000000      0.754601      0.001621       2.799489      -1499.398581      335.348851      133.70429770      1.68358100       51912      0468      566
0.256258      7.616715      44.254600      -0.502635      2.738000      3.000000      0.877128      -1.284119      2.577500      -1084.820715      405.458308      159.57421970      0.31220990       51913      0274      388
0.220194      7.644297      43.797300      -0.987517      2.464000      1.000000      0.902794      0.469892       2.575361      -911.602037       176.835254      49.04458320       -8.46215760      51924      0459      001
0.126067      7.541584      43.853700      -0.828404      2.986000      2.000000      0.801185      -1.584695      2.457032      -920.757410       353.487475      50.60585150       -8.21539140      51924      0460      122
0.296875      7.903652      44.128100      -0.916073      2.358000      2.500000      0.675912      -0.944599      2.725869      -1393.966784      316.085928      49.56300700       -6.18896890      51924      0460      338
0.199912      7.406357      43.807400      -0.739478      2.413000      1.500000      0.759909      -0.757732      2.374031      -928.318315       335.146163      136.96898790      -0.51747220      51929      0470      018
0.290900      8.145260      44.307500      -0.978280      2.759000      2.500000      0.702940      -0.306172      2.454425      -922.505791       334.551731      137.34035480      0.60205950       51929      0470      623
0.342731      8.305968      44.389200      -1.057289      2.760000      2.500000      0.885506      -1.174003      2.503033      -1453.985522      524.724596      140.75563350      2.19138260       51929      0473      586
0.383123      8.025435      44.351400      -0.814555      3.065000      2.000000      0.766616      -0.986362      2.652026      -1553.923743      339.607642      140.84437810      2.02661000       51929      0473      600
