z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.231308      8.018184      43.990500      -1.168205      2.440000      0.500000      0.734632      -0.803174      2.588487      117.77879280      43.32182940      51885      0434      456
0.180960      7.499101      43.741600      -0.898021      3.104000      1.500000      0.924031      -1.099079      2.439724      117.17839130      42.73463360      51885      0434      480
0.223298      8.740240      44.112800      -1.767961      2.144000      1.500000      0.818722      -1.118729      3.289581      124.81787490      48.29600820      51885      0440      005
0.185378      7.649490      43.738400      -1.051611      3.108000      1.000000      0.926023      0.159779       2.537445      123.25979920      48.57389240      51885      0440      176
0.115625      7.301461      43.381200      -1.060781      2.750000      2.500000      0.814353      -0.152192      2.514306      122.39527290      48.88362610      51885      0440      186
0.275541      8.123553      44.142000      -1.122074      2.483000      1.500000      0.943706      -0.669439      2.678418      20.58325550       14.30139330      51893      0424      183
0.246150      7.505311      43.771400      -0.874431      2.542000      1.000000      0.588809      0.100342       2.750600      131.09932660      53.24309580      51899      0446      123
0.286166      7.787276      44.035200      -0.892596      2.340000      3.500000      0.857575      -1.738459      2.512614      130.72588980      55.89328670      51899      0446      441
0.261170      8.298990      43.985000      -1.454511      2.486000      3.000000      0.606597      -1.864006      2.630534      134.55495330      55.48074770      51900      0448      063
0.187117      7.957797      44.104400      -0.993918      2.509000      3.000000      0.674762      -1.712495      2.513397      134.04134690      56.95406430      51900      0448      577
0.131548      7.788099      43.620600      -1.308019      2.814000      1.500000      0.934569      0.327711       2.433991      50.91065740       0.64581300       51901      0414      356
0.388380      8.532031      44.449900      -1.222652      2.833000      3.000000      0.834411      -2.359119      2.616570      51.92975400       0.58057900       51901      0414      487
0.368275      8.237168      44.410200      -0.967488      2.922000      2.500000      0.756085      -2.293927      2.611972      43.02315360       -7.96380560      51901      0457      226
0.267766      8.829367      44.549000      -1.420887      2.942000      3.000000      0.829580      -1.054463      2.639057      131.99991990      -0.55925280      51901      0467      042
0.196854      8.464928      43.879300      -1.726149      2.825000      1.000000      0.503235      -0.153664      2.554145      131.39646140      2.15276390       51901      0467      406
0.318741      7.745002      44.052100      -0.833423      2.525000      3.000000      0.833089      -1.129128      2.538905      137.99645860      58.80649640      51907      0484      498
0.142421      7.455951      43.874700      -0.721772      2.990000      2.000000      0.929728      -0.264906      2.529207      137.29842810      54.16459060      51908      0450      100
0.367183      7.894595      44.408700      -0.626415      2.619000      2.500000      0.779107      -2.053825      2.482026      135.47120870      55.77824250      51908      0450      382
0.119253      7.628412      43.743100      -1.025832      3.000000      1.500000      0.720366      0.322631       2.912356      137.94338290      56.68673340      51908      0450      613
0.221559      7.389778      43.878400      -0.651898      2.916000      3.500000      0.847126      -1.299964      2.635467      141.28620060      55.73976290      51908      0451      006
0.249349      8.098565      43.920000      -1.319085      1.240000      1.000000      0.731989      2.317604       2.639473      140.78407370      56.24876410      51908      0451      153
0.184287      7.700897      43.954300      -0.887117      2.990000      2.500000      0.811567      -1.991935      2.627712      36.65457650       -8.52175690      51908      0454      499
0.076026      7.503342      43.498500      -1.145362      2.734000      1.500000      0.366506      0.477751       2.493728      58.25426250       -6.39063780      51908      0463      077
0.293190      8.725360      44.483300      -1.382580      2.689000      2.500000      0.854792      -1.834532      2.591859      56.52289570       -5.53305100      51908      0463      350
0.174845      7.663362      43.741600      -1.062282      2.814000      3.000000      0.684545      -1.301424      2.465543      60.94290440       -5.84151270      51908      0464      017
0.318607      8.341107      44.549900      -0.931728      2.714000      3.000000      0.626686      -1.605816      2.599611      59.82675690       -4.72042580      51908      0464      551
0.358288      8.333799      44.466000      -1.008319      2.793000      2.500000      0.891375      -2.141421      2.565065      38.84221790       -7.40771430      51909      0455      379
0.266947      7.729279      44.108100      -0.761699      2.494000      3.000000      0.827884      -1.357769      2.672135      138.64068980      60.38698210      51909      0485      345
0.194962      7.639104      43.965400      -0.814225      2.707000      3.000000      0.958344      -1.783512      2.578895      139.37291100      60.52885510      51909      0485      384
0.261601      8.015632      44.065000      -1.091153      2.646000      2.500000      0.857653      -1.386750      2.663750      139.14808910      60.45624020      51909      0485      387
0.122658      7.467429      43.470300      -1.137649      2.865000      2.000000      0.844304      -1.772464      2.450660      150.72962680      -0.41383930      51910      0269      276
0.192267      7.488486      43.728600      -0.900407      2.609000      2.500000      0.841658      -1.564351      2.421241      42.30312380       -8.37130740      51910      0456      079
0.229072      7.468682      43.646700      -0.962502      3.005000      3.000000      0.783943      -1.030727      2.517038      41.49582280       -7.75013600      51910      0456      486
