z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    V98               sigma           RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.172481      7.751402      44.014300      -0.877623      3.065000      2.500000      0.760478      1.609876       2.580214      -1072.701244      363.790997      327.25802920      -8.50739460      52173      0644      262
0.383665      8.135913      44.358500      -0.917933      2.834000      4.000000      0.820798      -1.670408      2.465202      -1017.550314      363.151232      -18.14197080      10.20605080      52177      0660      315
0.244271      7.898662      44.037000      -1.002183      2.744000      5.000000      0.766685      -1.529175      2.508858      -1022.334306      333.527143      -17.93264240      10.50457450      52199      0659      004
0.284641      7.930466      44.022900      -1.048086      2.590000      3.000000      0.804101      -0.349016      2.743203      -1657.733639      493.360729      -358.7537146      10.51700340      52201      0649      050
0.265459      7.675742      43.844200      -0.972062      2.141000      3.500000      0.796619      -1.023857      2.437919      -823.845712       299.512126      357.69027280      -9.12997380      52201      0649      399
0.235535      7.716961      44.020800      -0.836681      2.615000      2.500000      0.756646      0.118717       2.477338      -998.594725       389.701818      358.78641400      -8.78346280      52201      0649      509
0.125117      8.075664      43.869500      -1.346685      1.701000      3.000000      0.731187      0.458069       2.679084      -1485.814934      244.897777      349.97110000      -8.45469160      52203      0645      450
0.069573      7.088561      43.028900      -1.200182      1.860000      1.500000      0.790999      2.481371       2.423575      -1318.924189      350.936399      332.60177020      -9.52052450      52206      0718      102
0.099238      7.077677      43.428700      -0.789498      2.863000      1.500000      0.629650      2.000789       2.673867      -1212.017240      235.559916      333.55874510      13.98365290      52221      0736      406
0.332237      8.488412      44.120700      -1.508232      2.578000      4.500000      0.905315      -1.237044      2.782890      -1400.361455      211.331422      130.29532730      2.49783410       52224      0564      278
0.096290      8.459912      43.725100      -1.875333      2.456000      3.500000      0.576546      0.485935       2.528754      -747.776538       239.000034      357.86988670      15.88312170      52226      0749      411
0.081394      7.836844      43.359900      -1.617465      2.542000      2.500000      0.915496      2.069645       2.304760      -561.888444       182.505477      139.19113240      49.59200130      52247      0766      060
0.189328      7.784259      43.928600      -0.996180      3.006000      3.000000      0.952086      1.003320       2.700551      -1249.729640      427.097585      183.15164450      1.96754230       52282      0518      268
0.085895      7.326168      43.197100      -1.269589      2.305000      1.500000      0.801273      2.518595       2.606113      -1287.392768      268.884729      124.93643520      34.84846770      52295      0826      051
0.061742      7.594419      43.105700      -1.629240      2.471000      1.500000      0.963134      2.226210       2.710885      -1496.354887      600.740349      124.25165420      34.59904810      52295      0826      205
0.156121      8.106211      43.734100      -1.512632      1.849000      2.000000      0.740483      1.730368       2.224584      -754.325075       259.562173      140.28577010      44.91412240      52312      0832      622
0.084487      7.452945      43.240600      -1.352865      3.271000      3.000000      0.942936      1.205714       2.410432      -894.913791       331.647090      152.47751370      62.51321390      52370      0771      374
0.204125      7.656853      43.741400      -1.055973      3.487000      4.000000      0.814625      0.295862       2.619585      -1246.901836      353.377163      241.62070130      50.23227200      52375      0620      029
0.108300      7.592282      43.533100      -1.199703      2.614000      4.500000      0.639440      0.263527       2.534445      -854.097951       185.842671      202.05623390      -2.90795530      52377      0910      189
0.209485      7.882693      43.670400      -1.352814      2.584000      2.000000      0.713769      1.029536       2.466428      -1180.308304      335.007002      122.18585830      36.00621810      52378      0892      433
0.194875      7.633001      43.518600      -1.254922      2.545000      3.000000      0.829557      0.789061       2.449516      -972.242590       268.215390      212.23035640      -1.25511810      52378      0916      378
0.134070      7.409198      43.352600      -1.197118      3.035000      1.500000      0.389085      2.870586       2.356414      -912.432075       357.744607      216.97531190      -1.24676440      52404      0918      449
0.220579      7.713797      43.809400      -1.044918      2.781000      2.000000      0.825648      1.599233       2.246983      -1186.915863      403.137732      312.42792860      -1.05072210      52443      0983      285
0.163941      7.765116      43.679000      -1.226637      2.885000      2.000000      0.807814      2.229052       2.561580      -1276.484476      179.913488      121.29680660      34.88646670      52584      0891      563
0.164208      7.575973      43.680600      -1.035894      2.746000      2.500000      0.670747      1.045481       2.421939      -1184.249018      349.215854      155.59488140      45.46840930      52614      0944      111
0.193770      7.641673      43.788100      -0.994093      2.888000      2.500000      0.515514      1.780601       2.544639      -1068.600927      201.792518      175.96464970      48.43691950      52636      0967      042
0.076193      7.438689      43.258300      -1.320910      2.710000      1.500000      0.431448      2.655792       2.670997      -1357.376786      362.278298      146.04981090      50.44903430      52641      0901      614
0.094261      7.814146      43.405500      -1.549166      1.319000      1.500000      0.507922      2.628959       2.535036      -1153.369039      220.323080      135.37307370      4.60069010       52649      1192      223
0.099245      7.741892      43.268300      -1.614112      1.463000      1.500000      0.387958      2.503796       2.477824      -1419.970363      305.725747      116.06050660      30.37849600      52663      0889      386
0.187306      8.091674      43.886400      -1.345795      2.746000      1.500000      0.654504      2.225607       2.980735      -815.348709       194.740035      161.67145400      51.32430080      52669      0876      330
0.237357      7.763344      43.896000      -1.007865      2.950000      2.500000      0.529960      0.517265       2.556964      -1240.616796      140.211018      133.63008430      38.92789810      52669      1198      194
0.165731      7.665455      43.496600      -1.309376      2.423000      2.500000      0.603298      1.111455       2.412615      -890.915219       129.060080      115.82168400      21.45740860      52669      1203      226
0.228368      7.642326      43.674500      -1.108346      2.578000      3.000000      0.857540      0.024330       2.430265      -1201.345084      369.037052      161.20735690      7.14784840       52670      1001      360
0.241387      7.977254      43.795000      -1.322775      2.489000      2.500000      0.889983      -0.161540      2.642469      -1080.555787      200.202399      228.86193850      52.59975460      52703      1165      615
0.295873      7.929930      44.235000      -0.835451      2.905000      2.500000      0.617476      0.190447       2.606417      -953.738288       156.771374      139.29943350      6.50467220       52703      1194      104
0.202096      8.115932      44.093400      -1.163053      2.687000      1.500000      0.752987      2.432701       2.805312      -1188.093313      149.056543      117.79160120      21.24103640      52708      1263      600
0.223522      7.751353      43.836200      -1.055674      2.718000      2.000000      0.939974      1.645830       2.464398      -1004.721580      393.951070      188.39689740      55.97696770      52721      1020      445
0.034427      7.616497      42.892800      -1.864218      2.859000      2.500000      0.494821      0.565972       2.426265      -1235.510474      214.694717      181.76983300      9.11330470       52723      1229      299
0.041042      7.893132      43.267900      -1.765753      1.748000      1.500000      0.507532      1.784725       2.565006      -1422.248407      325.734522      148.65520240      6.62218370       52734      1235      070
0.101055      7.301190      43.476400      -0.965310      2.378000      1.500000      0.558603      2.394427       2.527754      -1378.205281      342.730056      202.01922450      49.49816960      52759      1282      588
0.223433      7.715644      43.662200      -1.193964      2.901000      3.000000      0.821071      -0.680639      2.520437      -929.547276       219.055033      168.47950550      9.44148460       52763      1222      278
0.110893      7.925118      43.346600      -1.719039      1.789000      1.500000      0.627793      2.159092       2.451984      -1055.929757      156.476731      175.13972440      10.19775580      52765      1224      515
0.070373      7.322020      43.244700      -1.217841      2.732000      2.000000      0.752861      2.220845       2.397711      -933.809055       145.840458      174.91193970      57.48629160      52765      1311      463
