z             LogMbh        LogL5100       LogBolEdd      W2W3          T             ba            beta           FWHMO3Core    RA(degree)        Dec(degree)      MJD        PLATE     FIBER
0.264477      7.827900      43.953500      -1.014920      3.052000      2.000000      0.556957      -0.056112      2.486819      45.38199220       -7.57729060      51929      0458      473
0.222187      7.900254      43.792900      -1.247875      2.460000      3.000000      0.960066      0.102466       2.497679      46.28986040       -6.75317230      51929      0458      538
0.121460      8.163125      43.519000      -1.784646      2.700000      2.000000      0.746844      1.769513       2.521400      135.81294160      1.10643510       51929      0470      401
0.286974      7.858483      44.114300      -0.884704      2.433000      2.500000      0.608005      -0.445760      2.608946      139.77981080      1.34613370       51929      0473      166
0.135720      7.002332      43.097100      -1.045753      2.463000      2.500000      0.685493      1.971471       2.370918      139.10835750      2.02326450       51929      0473      391
0.131954      7.893326      43.178200      -1.855647      2.609000      3.500000      0.727046      0.225279       2.439037      179.94467260      -1.08072970      51930      0285      096
0.217515      8.043593      43.892800      -1.291314      2.495000      3.000000      0.955662      -0.124856      2.619213      159.19074040      64.21861360      51930      0489      083
0.323171      8.652515      44.292600      -1.500436      2.826000      3.500000      0.732624      -1.106926      2.868953      206.91162040      -0.03641580      51943      0300      198
0.189978      7.271999      43.453600      -0.958919      1.747000      4.500000      0.752496      -1.786716      2.554698      147.51398210      63.59775870      51943      0487      337
0.234453      7.892051      43.947800      -1.084771      3.094000      3.500000      0.737462      -1.263433      2.453615      151.61241520      63.29294120      51943      0487      593
0.222361      8.453258      43.672500      -1.921279      2.973000      3.000000      0.770215      0.014127       2.763167      139.20586280      0.00875590       51955      0472      101
0.318620      8.243827      44.212200      -1.172148      3.184000      4.000000      0.927337      -0.301056      2.625576      173.98531190      67.77006450      51955      0492      384
0.284636      8.289573      44.099100      -1.330994      2.616000      3.000000      0.919342      -0.011796      2.700221      156.98789700      0.90199280       51957      0273      321
0.336818      8.063393      44.315000      -0.888914      3.436000      3.000000      0.786334      -0.062950      2.758665      181.35272730      66.23434800      51957      0493      206
0.269377      7.769063      44.043100      -0.866484      2.870000      2.500000      0.509821      0.730176       2.451790      154.06818740      1.75114770       51957      0502      037
0.063185      7.731210      43.022300      -1.849431      1.934000      1.500000      0.745208      2.017502       2.465720      152.29813420      2.74761680       51957      0502      371
0.056793      7.642967      43.133300      -1.650188      2.448000      2.500000      0.768253      0.822135       2.448846      143.16901220      2.55906190       51965      0475      568
0.182318      8.299820      43.921700      -1.518640      2.886000      3.000000      0.777896      -0.725012      2.614065      128.22821310      45.43626740      51981      0549      123
0.113962      7.467070      43.446700      -1.160891      2.811000      3.000000      0.865326      0.052654       2.361392      169.05001450      0.78570260       51984      0279      451
0.147656      8.326031      43.923800      -1.542752      2.844000      2.500000      0.695734      -0.784029      2.700152      214.94173620      65.06467090      51984      0498      037
0.292776      7.926357      44.021700      -1.045177      2.915000      3.500000      0.448567      -0.114359      2.695393      212.67522300      65.43139950      51984      0498      516
0.134286      7.144482      43.407400      -0.877602      2.700000      3.000000      0.593131      -0.749006      2.493489      196.25519690      1.05684900       51986      0294      417
0.080600      7.222117      43.177600      -1.185038      3.551000      4.000000      0.656083      1.043026       2.459043      193.54451050      68.11409170      51988      0495      129
0.167472      7.369763      43.267000      -1.243284      3.077000      4.500000      0.654184      0.371594       2.482594      215.40166920      64.67349850      51988      0496      447
0.207191      7.641195      43.603200      -1.178515      2.617000      4.000000      0.909616      -0.475954      2.512040      215.94836950      65.18267220      51988      0499      338
0.146301      7.571174      43.583400      -1.128294      3.042000      3.000000      0.675470      0.451236       2.524919      232.47632090      -0.17411080      51988      0499      414
0.199694      7.960414      44.087500      -1.013435      2.911000      5.000000      0.954391      -1.611345      2.432441      207.59177770      65.72071250      51989      0363      313
0.114818      7.475279      43.492400      -1.123400      3.024000      3.000000      0.879928      0.097630       2.433860      187.53994210      -1.04569230      51990      0289      056
0.139810      7.679016      43.609200      -1.210336      2.634000      1.500000      0.762241      2.171352       2.718035      198.99515120      -2.39589640      51990      0340      064
0.081983      7.589179      43.323100      -1.406600      1.929000      2.000000      0.704965      1.917071       2.529694      198.93502610      -1.43545860      51990      0340      580
0.196462      8.075775      43.825500      -1.390796      2.880000      3.500000      0.965439      -0.076075      2.653987      145.95674170      56.00682250      51991      0556      536
0.263229      8.029358      43.872600      -1.297279      2.758000      3.500000      0.544178      -0.774367      2.615647      136.79155660      51.41312200      51992      0552      093
0.289916      8.110908      44.161100      -1.090329      2.695000      4.000000      0.746563      -0.610574      2.596851      185.86920810      -2.83355460      51993      0334      313
0.324799      8.938538      44.456300      -1.622759      3.069000      3.000000      0.770270      -0.078117      2.789922      188.19426340      -1.61106560      51993      0334      607
0.244150      8.077177      43.782800      -1.434897      1.984000      2.000000      0.534615      0.607472       2.613462      115.39816040      34.89092780      51993      0542      359
0.219364      8.584802      44.157000      -1.568323      2.493000      4.000000      0.750772      -1.206770      2.636012      132.06412370      49.90903000      51993      0551      290
0.285722      7.636272      44.020700      -0.756093      2.733000      3.000000      0.701619      0.024943       2.621707      175.35476460      2.93280630       51994      0514      389
0.275329      7.633696      44.001400      -0.772816      1.901000      3.500000      0.706200      -0.347914      2.614669      176.88809590      2.82128920       51994      0514      588
0.248547      7.881197      43.738900      -1.282818      2.312000      2.500000      0.639724      -0.152768      2.610075      214.93249050      3.23202880       51997      0534      323
0.082264      7.895055      43.308000      -1.727576      2.582000      3.000000      0.874791      0.371989       2.515380      191.09610500      -2.48275510      51999      0336      236
0.211742      7.449507      43.700500      -0.889528      3.316000      4.000000      0.786280      -0.092165      2.496459      185.13735980      -0.24283700      52000      0288      111
0.257437      8.184929      44.024600      -1.300850      3.141000      4.000000      0.669689      -0.814639      2.575610      184.66238640      -1.02616440      52000      0288      217
0.184595      7.822201      43.786100      -1.176621      2.642000      1.500000      0.528201      1.035968       2.581131      183.65695800      0.47643510       52000      0288      353
0.157260      7.903588      43.447600      -1.596509      3.353000      4.000000      0.886191      -0.538003      2.607546      185.28081710      0.04754110       52000      0288      544
