Ho      EP     EN    Year      Type
 62    +18    -18    2000.678    LC                                  
 71    +22    -19    2000.681    OC
 62    +8     -2     2000.794    CC
 58    +6     -6     2000.814    SS         
 71    +6     -6     2000.852    LC
 64    +4     -4     2000.853    LC
 69    +13    -19    2000.87     L 
 76    +1     -1     2000.88     F 
 73    +2     -2     2000.89     F 
 70    +9     -9     2000.892    AC
 73    +7     -7     2000.906    SK
 73    +7     -7     2000.91     SK             
 63    +6     -6     2000.926    A   
 70    +5     -5     2000.928    A 
 72    +8     -8     2000.95     AK
 71    +12    -9     2000.968    A 
 79    +4     -4     2000.984    C 
 66    +14    -11    2001.029    ZC
 64    +14    -11    2001.029    ZC
 66    +14    -11    2001.03     ZC
 64    +14    -11    2001.03     ZC
 70    +7     -7     2001.098    A 
 73    +4     -4     2001.128    H 
 68    +6     -6     2001.143    A 
 63    +7     -7     2001.164    TI
 59    +8     -7     2001.179    ZC
 65    +8     -7     2001.181    ZC
 61    +15    -15    2001.379    CC
 69    +4     -4     2001.42     F 
 69    +6     -5     2001.447    L 
 65    +6     -6     2002.5      T 
 65    +6     -6     2001.532    O 
 59    +6     -6     2001.551    SS
 71    +8     -8     2001.6      F 
 60    +10    -10    2001.64     H 
 67    +8     -8     2001.796    A 
 48    +4     -4     2001.847    LC
 62    +4     -4     2001.847    LC
 73    +11    -11    2001.858    F 
 58    +17    -15    2001.925    LC
 73    +11    -11    2001.922    A 
 65    +8     -8     2001.943    LC
 77    +4     -4     2001.954    LC
 72    +8     -8     2001.964    A 
 57    +2     -2     2001.98     AS
 55    +12    -12    2002.046    2A
 72    +7     -7     2002.08     AK
 91    +10    -10    2002.086    T 
 44    +9     -9     2002.089    LC
 72    +6     -2     2002.143    A 
 48    +7     -4     2002.259    L 
 71    +6     -6     2002.261    L 
 62    +7     -7     2002.263    L 
 71    +8     -8     2002.355    L 
 72    +4     -13    2002.366    A 
 73    +8     -8     2002.389    LC
 51    +5     -5     2002.391    LC
 60    +13    -18    2002.395    ZC
 78    +7     -7     2002.453    P 
 56    +6     -4     2002.597    LC
 57     2     -2     2002.594    SS                                     
 63    +17    -17    2002.645    LC
 51    +9     -9     2002.663    LC
 66    +6     -6     2002.655    O 
 59    +12    -7     2002.918    LC
 71    +6     -6     2002.949    F 
 72    +15    -13    2002.973    CC
 81    +10    -10    2003.04     2A                                        
 67    +4     -4     2003.055    S 
 71    +4     -3     2003.122    OC
 70    +3     -3     2003.155    OC
 56    +4     -4     2003.177    O 
 57    +2     -2     2003.215    AS
 70    +10    -10    2003.218    S 
 77    +20    -20    2003.239    Z 
 66    +5     -5     2003.25     A 
 72    +8     -8     2003.3      AK                           
 57    +15    -15    2003.376    2A
 59    +11    -11    2003.376    2A
 77    +19    -15    2003.39     ZC
 85    +20    -17    2003.39     ZC
 48    +3     -3     2003.422    LC
 71    +3     -3     2003.422    LC
 61    +18    -18    2003.431    ZC
 75    +7     -6     2003.45     LC
 72    +7     -7     2003.648    AK
 58    +4     -3     2003.728    ZC
 72    +8     -8     2003.74     S                                                      
 70    +4     -3     2003.825    CC
 68    +2     -2     2003.9      OC
 78    +6     -6     2003.94     LC
 71    +3     -3     2004.04     S 
 31    +19    -17    2004.109    ZC
 73    +9     -5     2004.141    CC
 69    +8     -8     2004.15     CK
 70    +5     -5     2004.347    LC
 57    +15    -14    2004.35     OC
 69    +8     -8     2004.387    ZC
 67    +5     -5     2004.409    ZC
 75    +8     -8     2004.42     LC
 73    +3     -3     2004.5      OC
 56    +23    -23    2004.518    LC
 49    +6     -11    2004.52     LC
 72    +7     -7     2004.55     AK                
 67    +15    -6     2004.584    ZC
 78    +6     -6     2004.68     LC         
 64    +9     -7     2004.7      LC
 70    +7     -7     2004.91     CC
 76    +6     -6     2004.92     LC
 73    +5     -5     2005.58     S 
 74    +2     -2     2005.6      OC
 60    +7     -7     2005.9      A 
 77    +10    -8     2005.95     ZC
 63    +5     -5     2005.97     SS
 73    +3     -3     2006.218    CC
 72    +6     -6     2006.2      SC
 62    +5     -5     2006.228    SS
 74    +5     -5     2006.25     S 
