# Matter power spectrum P(k) at redshift z=0
# for k=1.04232e-05 to 5.30028 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.109446920420e-02       1.962428179328e+04 
       3.124026709701e-02       1.954975008325e+04 
       3.138647235584e-02       1.947486759181e+04 
       3.153309537530e-02       1.939964827007e+04 
       3.168014686851e-02       1.932465681728e+04 
       3.182763787925e-02       1.924946732208e+04 
       3.197557979463e-02       1.917438834070e+04 
       3.212398435851e-02       1.909917504225e+04 
       3.227286368539e-02       1.902399105453e+04 
       3.242223027514e-02       1.894870758768e+04 
       3.257209702837e-02       1.887358851100e+04 
       3.272247726258e-02       1.879821942402e+04 
       3.287338472918e-02       1.872284540281e+04 
       3.302483363130e-02       1.864739459883e+04 
       3.317683864258e-02       1.857205423936e+04 
       3.332941492692e-02       1.849676466561e+04 
       3.348257815926e-02       1.842135382190e+04 
       3.363634454749e-02       1.834571949919e+04 
       3.379073085548e-02       1.827031718495e+04 
       3.394575442748e-02       1.819494167407e+04 
       3.410143321371e-02       1.811979130279e+04 
       3.425778579750e-02       1.804425078697e+04 
       3.441483142390e-02       1.796907699667e+04 
       3.457259002986e-02       1.789339671177e+04 
       3.473108227629e-02       1.781814300080e+04 
       3.489032958180e-02       1.774295009927e+04 
       3.505035415862e-02       1.766774839982e+04 
       3.521117905044e-02       1.759235819947e+04 
       3.537282817273e-02       1.751707623197e+04 
       3.553532635536e-02       1.744184961816e+04 
       3.569869938792e-02       1.736664709269e+04 
       3.586297406789e-02       1.729166143774e+04 
       3.602817825173e-02       1.721632097577e+04 
       3.619434090941e-02       1.714142628239e+04 
       3.636149218226e-02       1.706631264914e+04 
       3.652966344484e-02       1.699116722826e+04 
       3.669888737067e-02       1.691618203766e+04 
       3.686919800261e-02       1.684126084674e+04 
       3.704063082785e-02       1.676632629168e+04 
       3.721322285818e-02       1.669163403423e+04 
       3.738701271584e-02       1.661657746505e+04 
       3.756204072544e-02       1.654165736256e+04 
       3.773834901251e-02       1.646704821466e+04 
       3.791598160921e-02       1.639218506382e+04 
       3.809498456790e-02       1.631742216540e+04 
       3.827540608314e-02       1.624281387063e+04 
       3.845729662301e-02       1.616809923759e+04 
       3.864070907062e-02       1.609336811253e+04 
       3.882569887660e-02       1.601868220004e+04 
       3.901232422378e-02       1.594406202939e+04 
       3.920064620516e-02       1.586936227571e+04 
       3.939072901644e-02       1.579480758310e+04 
       3.958264016461e-02       1.572015749628e+04 
       3.977645069420e-02       1.564552279564e+04 
       3.997223543294e-02       1.557109140801e+04 
       4.017007325895e-02       1.549631117932e+04 
       4.037004739165e-02       1.542167123661e+04 
       4.057224570895e-02       1.534690618579e+04 
       4.077676109365e-02       1.527205848610e+04 
       4.098369181221e-02       1.519755881808e+04 
       4.119314192960e-02       1.512266544543e+04 
       4.140522176442e-02       1.504793233471e+04 
       4.162004838889e-02       1.497305665302e+04 
       4.183774617922e-02       1.489815072112e+04 
       4.205844742229e-02       1.482292076638e+04 
       4.228229298589e-02       1.474777462919e+04 
       4.250943306017e-02       1.467253227667e+04 
       4.274002797991e-02       1.459734905014e+04 
       4.297424913778e-02       1.452172455010e+04 
       4.321228000113e-02       1.444627766098e+04 
       4.345431724627e-02       1.437037727441e+04 
       4.370057202670e-02       1.429448307225e+04 
       4.395127139440e-02       1.421834111034e+04 
       4.420665989646e-02       1.414203370663e+04 
       4.446700137314e-02       1.406551395537e+04 
       4.473258098808e-02       1.398896592059e+04 
       4.500370752678e-02       1.391189539620e+04 
       4.528071600607e-02       1.383444541428e+04 
       4.556397064533e-02       1.375682835791e+04 
       4.585386825993e-02       1.367913669075e+04 
       4.615084214893e-02       1.360092136933e+04 
       4.645536656398e-02       1.352216317672e+04 
       4.676796186365e-02       1.344299084556e+04 
       4.708920047957e-02       1.336325420598e+04 
       4.741971384791e-02       1.328310475754e+04 
       4.776020049329e-02       1.320217371710e+04 
       4.811143549458e-02       1.312073211633e+04 
       4.847428161466e-02       1.303861543006e+04 
       4.884970244310e-02       1.295585070082e+04 
       4.923877798454e-02       1.287216638345e+04 
       4.964272323229e-02       1.278764922893e+04 
       5.006291040258e-02       1.270187509690e+04 
       5.050089567712e-02       1.261543081563e+04 
       5.095845152254e-02       1.252740398201e+04 
       5.143760593542e-02       1.243844886836e+04 
       5.194069031746e-02       1.234797159820e+04 
       5.247039813345e-02       1.225538223815e+04 
       5.302985705956e-02       1.216077698769e+04 
       5.362271800003e-02       1.206426369015e+04 
       5.425326512213e-02       1.196501806475e+04 
       5.492655186643e-02       1.186267501122e+04 
       5.564856855587e-02       1.175678384119e+04 
       5.642644734714e-02       1.164685546404e+04 
       5.726870898887e-02       1.153181131518e+04 
       5.818555147264e-02       1.141113092736e+04 
       5.918916997426e-02       1.128229811928e+04 
       6.029407480542e-02       1.114412896433e+04 
       6.151733041696e-02       1.099343541842e+04 
       6.287856237209e-02       1.082799204087e+04 
       6.439946448560e-02       1.064264040386e+04 
       6.610240919059e-02       1.043107930773e+04 
       6.800772773188e-02       1.018786197948e+04 
       7.012952383287e-02       9.904358433635e+03 
       7.247078431201e-02       9.575362890823e+03 
       7.501985331582e-02       9.197604335128e+03 
       7.775080839222e-02       8.773937331256e+03 
       8.062850698314e-02       8.314051197687e+03 
       8.361597267885e-02       7.833781334804e+03 
       8.668050941807e-02       7.351691342734e+03 
       8.979660347548e-02       6.885914152672e+03 
       9.294602127920e-02       6.452355050396e+03 
       9.611648556883e-02       6.062669933311e+03 
       9.930004579766e-02       5.723206054390e+03 
       1.024916797156e-01       5.435788969456e+03 
       1.056882637465e-01       5.197994945539e+03 
       1.088878736852e-01       5.004213612140e+03 
       1.120893310245e-01       4.846334581702e+03 
       1.152919164427e-01       4.715137225660e+03 
       1.184951917307e-01       4.600723545304e+03 
       1.216988901759e-01       4.493548239423e+03 
       1.249028494726e-01       4.385553673740e+03 
       1.281069708043e-01       4.269969581528e+03 
       1.313111939398e-01       4.143188862998e+03 
       1.345154820934e-01       4.003505115077e+03 
       1.377198127293e-01       3.852036244330e+03 
       1.409241719759e-01       3.691384405500e+03 
       1.441285512358e-01       3.525972280854e+03 
       1.473329451257e-01       3.360602601828e+03 
       1.505373502263e-01       3.200503727339e+03 
       1.537417643217e-01       3.049847868585e+03 
       1.569461859374e-01       2.912036202102e+03 
