# Matter power spectrum P(k) at redshift z=1
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.954557043510e-02       9.167993122733e+03 
       1.967640832185e-02       9.156249085172e+03 
       1.980731118754e-02       9.144097620262e+03 
       1.993828022397e-02       9.131547296941e+03 
       2.006931665321e-02       9.118553265227e+03 
       2.020042172819e-02       9.105187127532e+03 
       2.033159673334e-02       9.091494929909e+03 
       2.046284298520e-02       9.077384111510e+03 
       2.059416183310e-02       9.062886473320e+03 
       2.072555465984e-02       9.047980687116e+03 
       2.085702288238e-02       9.032766322034e+03 
       2.098856795258e-02       9.017217413405e+03 
       2.112019135793e-02       9.001238986894e+03 
       2.125189462236e-02       8.984985001813e+03 
       2.138367930699e-02       8.968381328939e+03 
       2.151554701099e-02       8.951437841215e+03 
       2.164749937244e-02       8.934196271268e+03 
       2.177953806914e-02       8.916615717389e+03 
       2.191166481961e-02       8.898721212756e+03 
       2.204388138394e-02       8.880521991435e+03 
       2.217618956478e-02       8.862019408777e+03 
       2.230859120836e-02       8.843245291287e+03 
       2.244108820548e-02       8.824150381102e+03 
       2.257368249257e-02       8.804787644475e+03 
       2.270637605277e-02       8.785170735302e+03 
       2.283917091708e-02       8.765278022124e+03 
       2.297206916549e-02       8.745094052117e+03 
       2.310507292820e-02       8.724687244408e+03 
       2.323818438680e-02       8.703970335248e+03 
       2.337140577562e-02       8.682997941989e+03 
       2.350473938296e-02       8.661826478160e+03 
       2.363818755247e-02       8.640424049932e+03 
       2.377175268458e-02       8.618771379110e+03 
       2.390543723787e-02       8.596879530981e+03 
       2.403924373063e-02       8.574788028621e+03 
       2.417317474233e-02       8.552457141214e+03 
       2.430723291522e-02       8.529989052409e+03 
       2.444142095598e-02       8.507216681276e+03 
       2.457574163740e-02       8.484265690166e+03 
       2.471019780008e-02       8.461175891303e+03 
       2.484479235430e-02       8.437573511627e+03 
       2.497952828182e-02       8.414070678253e+03 
       2.511440863780e-02       8.390539750353e+03 
       2.524943655283e-02       8.366585507686e+03 
       2.538461523491e-02       8.342675931716e+03 
       2.551994797163e-02       8.318136168991e+03 
       2.565543813231e-02       8.293744852402e+03 
       2.579108917030e-02       8.269233109061e+03 
       2.592690462528e-02       8.244652571903e+03 
       2.606288812571e-02       8.219789149462e+03 
       2.619904339133e-02       8.194868679691e+03 
       2.633537423576e-02       8.169646794297e+03 
       2.647188456914e-02       8.144377878980e+03 
