# Matter power spectrum P(k) at redshift z=0
# for k=1.05097e-05 to 5.16735 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.085952612207e-02       2.397235868035e+04 
       2.099296844032e-02       2.392973818246e+04 
       2.112648658447e-02       2.388700202304e+04 
       2.126008201571e-02       2.384334696549e+04 
       2.139375623105e-02       2.379952415343e+04 
       2.152751076407e-02       2.375285538865e+04 
       2.166134718578e-02       2.370636760315e+04 
       2.179526710538e-02       2.365908247427e+04 
       2.192927217115e-02       2.361079977063e+04 
       2.206336407133e-02       2.356163633249e+04 
       2.219754453501e-02       2.351174956272e+04 
       2.233181533308e-02       2.346122731729e+04 
       2.246617827919e-02       2.340911413506e+04 
       2.260063523073e-02       2.335738408601e+04 
       2.273518808990e-02       2.330341433281e+04 
       2.286983880472e-02       2.324942160619e+04 
       2.300458937014e-02       2.319527694449e+04 
       2.313944182917e-02       2.313914618191e+04 
       2.327439827403e-02       2.308286225512e+04 
       2.340946084736e-02       2.302651454043e+04 
       2.354463174345e-02       2.296826307477e+04 
       2.367991320949e-02       2.291055142839e+04 
       2.381530754693e-02       2.285108223532e+04 
       2.395081711278e-02       2.279135548439e+04 
       2.408644432106e-02       2.273099758288e+04 
       2.422219164419e-02       2.267028792629e+04 
       2.435806161454e-02       2.260862372121e+04 
       2.449405682589e-02       2.254686345721e+04 
       2.463017993508e-02       2.248451299343e+04 
       2.476643366362e-02       2.242074691827e+04 
       2.490282079937e-02       2.235698853092e+04 
       2.503934419829e-02       2.229265215897e+04 
       2.517600678625e-02       2.222769079226e+04 
       2.531281156089e-02       2.216287795774e+04 
       2.544976159352e-02       2.209682884049e+04 
       2.558686003112e-02       2.203096967071e+04 
       2.572411009841e-02       2.196349134169e+04 
       2.586151509992e-02       2.189616887386e+04 
       2.599907842223e-02       2.182850045356e+04 
       2.613680353620e-02       2.176049837145e+04 
       2.627469399934e-02       2.169196835678e+04 
       2.641275345822e-02       2.162332583340e+04 
       2.655098565095e-02       2.155368976809e+04 
       2.668939440985e-02       2.148392922425e+04 
       2.682798366402e-02       2.141427760109e+04 
       2.696675744222e-02       2.134313762077e+04 
       2.710571987570e-02       2.127292513824e+04 
       2.724487520116e-02       2.120121701834e+04 
       2.738422776388e-02       2.113013081395e+04 
       2.752378202088e-02       2.105792820032e+04 
       2.766354254425e-02       2.098600784190e+04 
       2.780351402458e-02       2.091345649908e+04 
       2.794370127449e-02       2.084073104611e+04 
       2.808410923237e-02       2.076802712291e+04 
       2.822474296619e-02       2.069448684574e+04 
       2.836560767744e-02       2.062120804703e+04 
       2.850670870529e-02       2.054722540505e+04 
       2.864805153086e-02       2.047327331626e+04 
       2.878964178166e-02       2.039916927309e+04 
       2.893148523621e-02       2.032463801536e+04 
       2.907358782884e-02       2.025001848683e+04 
       2.921595565465e-02       2.017520962157e+04 
       2.935859497473e-02       2.010012078750e+04 
       2.950151222152e-02       2.002497332793e+04 
       2.964471400444e-02       1.994961409975e+04 
       2.978820711569e-02       1.987409457533e+04 
       2.993199853636e-02       1.979837989587e+04 
       3.007609544273e-02       1.972256319502e+04 
       3.022050521287e-02       1.964658194036e+04 
       3.036523543346e-02       1.957047761087e+04 
       3.051029390702e-02       1.949423872709e+04 
       3.065568865928e-02       1.941786028141e+04 
       3.080142794703e-02       1.934187395142e+04 
       3.094752026618e-02       1.926526694303e+04 
       3.109397436026e-02       1.918823833018e+04 
       3.124079922927e-02       1.911150765472e+04 
       3.138800413888e-02       1.903467664815e+04 
       3.153559863013e-02       1.895780016861e+04 
       3.168359252948e-02       1.888085331099e+04 
       3.183199595938e-02       1.880412572654e+04 
       3.198081934932e-02       1.872678063534e+04 
       3.213007344737e-02       1.864980800640e+04 
       3.227976933228e-02       1.857253280871e+04 
       3.242991842613e-02       1.849552646783e+04 
       3.258053250768e-02       1.841811127389e+04 
       3.273162372619e-02       1.834075348445e+04 
       3.288320461612e-02       1.826357880446e+04 
       3.303528811239e-02       1.818631311061e+04 
       3.318788756650e-02       1.810908878566e+04 
       3.334101676340e-02       1.803166466236e+04 
       3.349468993928e-02       1.795453401714e+04 
       3.364892180022e-02       1.787722860724e+04 
       3.380372754183e-02       1.779992281448e+04 
       3.395912286991e-02       1.772256740568e+04 
       3.411512402224e-02       1.764509763561e+04 
       3.427174779147e-02       1.756802737586e+04 
       3.442901154933e-02       1.749090877790e+04 
       3.458693327209e-02       1.741360290975e+04 
       3.474553156747e-02       1.733626856262e+04 
       3.490482570306e-02       1.725921087631e+04 
       3.506483563630e-02       1.718197403571e+04 
       3.522558204625e-02       1.710501257410e+04 
       3.538708636710e-02       1.702828352380e+04 
       3.554937082374e-02       1.695116624835e+04 
       3.571245846934e-02       1.687415466210e+04 
       3.587637322526e-02       1.679725628472e+04 
       3.604113992333e-02       1.672049331325e+04 
       3.620678435071e-02       1.664385201283e+04 
       3.637333329759e-02       1.656696412606e+04 
       3.654081460782e-02       1.649035943306e+04 
       3.670925723279e-02       1.641379153935e+04 
       3.687869128876e-02       1.633722661550e+04 
       3.704914811798e-02       1.626073295196e+04 
       3.722066035372e-02       1.618428295632e+04 
       3.739326198981e-02       1.610798862331e+04 
       3.756698845474e-02       1.603182012231e+04 
       3.774187669095e-02       1.595544749204e+04 
       3.791796523953e-02       1.587924682596e+04 
       3.809529433103e-02       1.580325881698e+04 
       3.827390598262e-02       1.572723319472e+04 
       3.845384410235e-02       1.565112603236e+04 
       3.863515460107e-02       1.557521833352e+04 
       3.881788551268e-02       1.549941334204e+04 
       3.900208712346e-02       1.542357858014e+04 
       3.918781211134e-02       1.534772644179e+04 
       3.937511569598e-02       1.527207659851e+04 
       3.956405580072e-02       1.519635749279e+04 
       3.975469322754e-02       1.512081202513e+04 
       3.994709184622e-02       1.504539148820e+04 
       4.014131879921e-02       1.496961577717e+04 
       4.033744472364e-02       1.489423531812e+04 
       4.053554399239e-02       1.481878611664e+04 
       4.073569497602e-02       1.474328929742e+04 
       4.093798032777e-02       1.466801540832e+04 
       4.114248729427e-02       1.459271372747e+04 
       4.134930805451e-02       1.451706803719e+04 
       4.155854009029e-02       1.444178107699e+04 
       4.177028659175e-02       1.436661648471e+04 
       4.198465690186e-02       1.429113056347e+04 
       4.220176700450e-02       1.421596590944e+04 
       4.242174006123e-02       1.414052140785e+04 
       4.264470700264e-02       1.406495714697e+04 
       4.287080718103e-02       1.398960346505e+04 
       4.310018909200e-02       1.391440988063e+04 
       4.333301117386e-02       1.383882176509e+04 
       4.356944269492e-02       1.376306756986e+04 
       4.380966474034e-02       1.368741282041e+04 
       4.405387131208e-02       1.361168402002e+04 
       4.430227055751e-02       1.353591361960e+04 
       4.455508614500e-02       1.346017261637e+04 
       4.481255880751e-02       1.338394007426e+04 
       4.507494807921e-02       1.330801605620e+04 
       4.534253425398e-02       1.323148658129e+04 
       4.561562060020e-02       1.315498574204e+04 
       4.589453587220e-02       1.307833394843e+04 
       4.617963716625e-02       1.300151898103e+04 
       4.647131317811e-02       1.292422888417e+04 
       4.676998793007e-02       1.284705866007e+04 
       4.707612504906e-02       1.276924701642e+04 
       4.739023269366e-02       1.269129372386e+04 
       4.771286924840e-02       1.261308099562e+04 
       4.804464992894e-02       1.253451598284e+04 
       4.838625447259e-02       1.245547048719e+04 
       4.873843612807e-02       1.237613354876e+04 
       4.910203220677e-02       1.229592459239e+04 
       4.947797651928e-02       1.221539651466e+04 
       4.986731409816e-02       1.213419298541e+04 
       5.027121870607e-02       1.205248102418e+04 
       5.069101375250e-02       1.196996518640e+04 
       5.112819740088e-02       1.188655239192e+04 
       5.158447284982e-02       1.180243626023e+04 
       5.206178502912e-02       1.171709705799e+04 
       5.256236527871e-02       1.163077893618e+04 
       5.308878599154e-02       1.154384766806e+04 
       5.364402771755e-02       1.145459566358e+04 
       5.423156185757e-02       1.136418990543e+04 
       5.485545282011e-02       1.127178458736e+04 
       5.552048433304e-02       1.117709593583e+04 
       5.623231537306e-02       1.108008375418e+04 
       5.699767160742e-02       1.097996193152e+04 
       5.782457769698e-02       1.087640041035e+04 
       5.872263299215e-02       1.076779006876e+04 
       5.970332555673e-02       1.065406559039e+04 
       6.078036250768e-02       1.053262615534e+04 
       6.196996070306e-02       1.040256669105e+04 
       6.329097988922e-02       1.026040727572e+04 
       6.476468021081e-02       1.010203462331e+04 
       6.641375412606e-02       9.923234074231e+03 
       6.826018408526e-02       9.717436643754e+03 
       7.032159686357e-02       9.476136205358e+03 
       7.260641920764e-02       9.192830857763e+03 
       7.510937614110e-02       8.861349781404e+03 
       7.780992655185e-02       8.479852254691e+03 
       8.067548170216e-02       8.054725695075e+03 
       8.366834877556e-02       7.597777986154e+03 
       8.675288561424e-02       7.126081998431e+03 
       8.989990793684e-02       6.659659254085e+03 
       9.308784890856e-02       6.216456828698e+03 
       9.630185768181e-02       5.810980420912e+03 
       9.953217632386e-02       5.452909120740e+03 
       1.027725839494e-01       5.147123181070e+03 
       1.060191893251e-01       4.894029219282e+03 
       1.092695869524e-01       4.689414007585e+03 
       1.125223004524e-01       4.526941708761e+03 
       1.157764275946e-01       4.397620871750e+03 
       1.190314183884e-01       4.291760183741e+03 
       1.222869380027e-01       4.199336744051e+03 
       1.255427826922e-01       4.110471492225e+03 
       1.287988284555e-01       4.017444803568e+03 
       1.320549997629e-01       3.914218350296e+03 
