 ID    Name                            RA-s               Dec-s            RA            Dec         Type      Velocity         Redshift
411    ABELL S1063:[KCG2015] 48        22h48m38.7240s    -44d32m18.060s    342.16135    -44.53835    G         773554.479377    2.5803
412    RXC J2248.7-4431:[MSG2014] rD   22h48m41.1480s    -44d32m48.696s    342.17145    -44.54686    G        1519348.177144    5.0680
413    ABELL S1063:[YLT2022] 0165      22h48m48.4617s    -44d32m59.661s    342.20192    -44.54990    G        1777769.275940    5.9300
414    WISEA J224837.76-443157.4       22h48m37.7350s    -44d31m57.360s    342.15722    -44.53260    G         103428.398010    0.3450
415    ABELL S1063:[LKL2017] UDG02     22h48m39.1317s    -44d32m29.742s    342.16304    -44.54159    G        1858713.239600    6.2000
416    SSTSL2 J224838.51-443220.2      22h48m38.5056s    -44d32m20.256s    342.16044    -44.53896    IrS       106726.115048    0.3560
417    WISEA J224853.82-443203.0       22h48m53.7890s    -44d32m02.760s    342.22412    -44.53410    G         103728.190468    0.3460
418    SSTSL2 J224837.93-443058.4      22h48m37.9390s    -44d30m57.960s    342.15807    -44.51610    G         137424.862747    0.4584
419    SSTSL2 J224839.04-443234.6      22h48m39.0240s    -44d32m34.656s    342.16260    -44.54296    IrS      1031286.055520    3.4400
420    SSTSL2 J224837.10-443121.4      22h48m37.1094s    -44d31m21.427s    342.15462    -44.52261    IrS       619341.238982    2.0659
421    WISEA J224852.85-443231.0       22h48m52.9100s    -44d32m31.430s    342.22045    -44.54206    G          89248.214746    0.2977
422    RXC J2248:[BZC2014] 1773        22h48m40.7167s    -44d32m54.762s    342.16965    -44.54854    G        1798754.748000    6.0000
423    SSTSL2 J224840.97-443257.4      22h48m40.9789s    -44d32m57.461s    342.17074    -44.54929    IrS       689972.342087    2.3015
424    SSTSL2 J224854.74-443142.7      22h48m54.7000s    -44d31m42.580s    342.22790    -44.52849    G         110053.811331    0.3671
425    HLS J224851.9-443248            22h48m52.4466s    -44d32m45.606s    342.21852    -44.54600    IrS       599584.916000    2.0000
426    HLS J224853.8-443227            22h48m53.8143s    -44d32m26.130s    342.22422    -44.54059    IrS       149896.229000    0.5000
427    SSTSL2 J224854.71-443206.9      22h48m54.6979s    -44d32m06.720s    342.22790    -44.53520    G         104657.547087    0.3491
428    WISEA J224836.51-443118.0       22h48m36.5182s    -44d31m18.094s    342.15215    -44.52169    G         108524.869796    0.3620
429    [IKO2018] HFF5C-3822-2382       22h48m38.2200s    -44d32m38.300s    342.15925    -44.54397    G        1882996.428698    6.2810
430    SSTSL2 J224842.48-443313.3      22h48m42.4550s    -44d33m12.950s    342.17689    -44.55359    G          99800.909268    0.3329
431    WISEA J224837.10-443221.4       22h48m37.1330s    -44d32m21.480s    342.15472    -44.53930    G         105826.737674    0.3530
432    ABELL S1063:[DBW2016] 41.1      22h48m37.1410s    -44d32m22.390s    342.15475    -44.53955    G_Lens    599584.916000    2.0000
433    ABELL S1063:[DBW2016] 41.3      22h48m37.0300s    -44d32m19.920s    342.15429    -44.53886    G_Lens    599584.916000    2.0000
434    ABELL S1063:[DBW2016] 41.2      22h48m37.0980s    -44d32m22.330s    342.15457    -44.53953    G_Lens    599584.916000    2.0000
435    WISEA J224844.66-442951.0       22h48m44.6698s    -44d29m51.061s    342.18612    -44.49751    G         106516.260327    0.3553
436    SSTSL2 J224835.81-443138.8      22h48m35.7910s    -44d31m38.600s    342.14912    -44.52738    G         100610.348904    0.3356
437    SSTSL2 J224845.90-443324.7      22h48m45.8530s    -44d33m24.140s    342.19105    -44.55670    G         100550.390413    0.3354
438    SSTSL2 J224841.40-442959.8      22h48m41.3800s    -44d29m59.640s    342.17240    -44.49990    G         135955.879703    0.4535
439    SSTSL2 J224839.47-443012.0      22h48m39.4210s    -44d30m12.600s    342.16425    -44.50350    G          53962.642440    0.1800
440    SSTSL2 J224837.72-443242.5      22h48m37.7256s    -44d32m42.540s    342.15719    -44.54515    IrS       430801.762146    1.4370
441    WISEA J224836.21-443100.7       22h48m36.2147s    -44d31m00.747s    342.15089    -44.51687    IrS       309985.401572    1.0340
442    SSTSL2 J224837.39-443245.4      22h48m37.5168s    -44d32m44.268s    342.15632    -44.54563    IrS       282104.702978    0.9410
443    SSTSL2 J224835.62-443111.7      22h48m35.6020s    -44d31m10.660s    342.14834    -44.51962    G         183173.191838    0.6110
444    2CXO J224837.7-443242           22h48m37.4261s    -44d32m44.880s    342.15594    -44.54580    XrayS      99291.262089    0.3312
445    SSTSL2 J224839.74-443005.0      22h48m39.7210s    -44d30m05.120s    342.16550    -44.50142    G          82472.905195    0.2751
446    HLS J224837.5-443247            22h48m37.5554s    -44d32m47.298s    342.15648    -44.54647    IrS       242831.890980    0.8100
447    WISEA J224835.10-443151.2       22h48m35.1085s    -44d31m51.203s    342.14628    -44.53088    G         105556.924461    0.3521
448    HLS J224835.3-443208            22h48m35.3410s    -44d32m07.400s    342.14725    -44.53538    G         149896.229000    0.5000
449    SSTSL2 J224855.54-443229.2      22h48m55.4990s    -44d32m28.950s    342.23124    -44.54137    G         131339.075849    0.4381
450    WISEA J224853.55-443300.7       22h48m53.4790s    -44d33m01.290s    342.22282    -44.55035    G         137005.153306    0.4570
451    HLS J224836.0-443237            22h48m36.0300s    -44d32m36.870s    342.15012    -44.54357    G         164885.851900    0.5500
452    WISEA J224842.00-443330.9       22h48m42.0050s    -44d33m30.830s    342.17502    -44.55856    G         103698.211222    0.3459
453    WISEA J224841.10-442945.5       22h48m41.0810s    -44d29m45.790s    342.17117    -44.49605    G         141771.853388    0.4729
454    HLS J224833.2-443140            22h48m33.2697s    -44d31m40.079s    342.13862    -44.52779    IrS       377738.497080    1.2600
455    WISEA J224841.36-443345.8       22h48m41.3350s    -44d33m45.450s    342.17222    -44.56262    G         102798.833848    0.3429
456    WISEA J224857.32-443237.5       22h48m57.2470s    -44d32m38.210s    342.23852    -44.54394    G         101419.788541    0.3383
457    SSTSL2 J224834.34-443243.8      22h48m34.3300s    -44d32m43.490s    342.14304    -44.54541    G         135446.232524    0.4518
458    SSTSL2 J224858.77-443158.8      22h48m58.7470s    -44d31m58.750s    342.24477    -44.53298    G         102079.331949    0.3405
459    WISEA J224858.40-443216.4       22h48m58.4270s    -44d32m15.540s    342.24344    -44.53765    G         104237.837646    0.3477
460    SSTSL2 J224834.60-443252.3      22h48m34.6000s    -44d32m52.080s    342.14410    -44.54780    G         104297.796138    0.3479
461    SSTSL2 J224835.31-443007.4      22h48m35.3040s    -44d30m07.370s    342.14710    -44.50204    G         175378.587930    0.5850
462    ABELL S1063:[GVR2012] 1178      22h48m39.9020s    -44d29m24.980s    342.16625    -44.49027    G          72220.003132    0.2409
463    WISEA J224843.26-443401.4       22h48m43.2696s    -44d34m01.452s    342.18029    -44.56707    IrS       182573.606922    0.6090
464    WISEA J224836.10-442941.7       22h48m36.0740s    -44d29m41.530s    342.15030    -44.49486    G          45028.827191    0.1502
465    WISEA J224834.77-442952.7       22h48m34.7714s    -44d29m52.798s    342.14488    -44.49799    G         107865.326388    0.3598
466    WISEA J224840.93-443406.9       22h48m40.9388s    -44d34m06.951s    342.17057    -44.56859    G         138054.426909    0.4605
467    SSTSL2 J224833.66-443002.7      22h48m33.6450s    -44d30m02.620s    342.14018    -44.50072    G         106156.509377    0.3541
468    WISEA J224840.25-443410.8       22h48m40.2050s    -44d34m10.300s    342.16752    -44.56952    UvS       101179.954575    0.3375
469    SSTSL2 J224830.69-443100.0      22h48m30.6850s    -44d30m59.890s    342.12785    -44.51663    G         132927.975877    0.4434
470    SSTSL2 J224834.86-442937.6      22h48m34.8650s    -44d29m37.690s    342.14527    -44.49380    G         136675.381602    0.4559
471    SSTSL2 J224837.67-443400.6      22h48m37.6370s    -44d34m00.330s    342.15682    -44.56675    G              0.899377    3.00E-06
472    SSTSL2 J224836.01-442925.4      22h48m36.0440s    -44d29m24.450s    342.15018    -44.49012    G          16848.336139    0.0562
473    WISEA J224836.30-443354.0       22h48m36.3080s    -44d33m52.230s    342.15128    -44.56450    G          59238.989700    0.1976
474    WISEA J224841.36-443420.7       22h48m41.3840s    -44d34m20.670s    342.17243    -44.57240    G         102618.958373    0.3423
475    SSTSL2 J224836.87-443401.0      22h48m36.8570s    -44d34m00.610s    342.15357    -44.56683    G         105766.779182    0.3528
476    SSTSL2 J224836.02-443356.3      22h48m36.0080s    -44d33m55.970s    342.15003    -44.56554    G         103848.107451    0.3464
477    WISEA J224829.46-443156.0       22h48m29.4675s    -44d31m56.044s    342.12278    -44.53223    G         104837.422562    0.3497
478    SSTSL2 J224829.34-443150.6      22h48m29.3350s    -44d31m50.540s    342.12222    -44.53070    G         102529.020636    0.3420
479    SSTSL2 J224832.83-443327.6      22h48m32.8200s    -44d33m27.380s    342.13675    -44.55760    G         104447.692367    0.3484
480    WISEA J224829.69-443235.9       22h48m29.6630s    -44d32m35.040s    342.12359    -44.54300    G         101389.809295    0.3382
481    ABELL S1063:[GVR2012] 1684      22h48m30.1320s    -44d33m01.250s    342.12555    -44.55034    G          74108.695617    0.2472
482    WISEA J224835.98-443417.2       22h48m35.9860s    -44d34m17.220s    342.14994    -44.57145    G         100580.369659    0.3355
483    WISEA J224840.51-443439.8       22h48m40.5122s    -44d34m39.884s    342.16880    -44.57774    G          15739.104045    0.0525
484    WISEA J224827.37-443117.4       22h48m27.4070s    -44d31m17.410s    342.11419    -44.52150    G         104387.733875    0.3482
485    ABELL S1063:[GVR2012] 1357      22h48m27.7350s    -44d32m31.600s    342.11556    -44.54211    G          54622.185847    0.1822
486    WISEA J224843.03-443500.8       22h48m43.0311s    -44d35m00.817s    342.17929    -44.58356    G         104327.775384    0.3480
487    ABELL S1063:[GVR2012] 0264      22h48m39.6140s    -44d35m02.720s    342.16505    -44.58408    G          76357.139052    0.2547
488    ABELL S1063:[GVR2012] 1163      22h48m25.2170s    -44d32m03.210s    342.10507    -44.53422    G          33636.713787    0.1122
489    ABELL S1063:[GVR2012] 0104      22h48m42.1420s    -44d35m16.170s    342.17559    -44.58782    G         101539.705524    0.3387
490    HLS J224906.9-443228            22h49m06.8400s    -44d32m26.469s    342.27850    -44.54068    IrS       119916.983200    0.4000
491    LCRS B224559.6-445123           22h48m54.2620s    -44d35m30.126s    342.22609    -44.59170    G          34433.861933    0.1148
492    HLS J224909.7-443206            22h49m09.6960s    -44d32m06.205s    342.29040    -44.53505    IrS       239833.966400    0.8000
493    HLS J224912.1-443151            22h49m12.2589s    -44d31m49.137s    342.30107    -44.53031    IrS       509647.178600    1.7000
494    [IKO2018] HFF5P-1278-2047       22h49m12.7809s    -44d32m04.779s    342.30325    -44.53466    G        2392343.814840    7.9800
495    ABELL S1063:[LBL2018] par029    22h49m12.2676s    -44d32m43.011s    342.30111    -44.54528    G        1664147.934358    5.5510
496    [IKO2018] HFF5P-1200-3107       22h49m12.0070s    -44d33m10.673s    342.30002    -44.55296    G        1840425.899662    6.1390
497    [IKO2018] HFF5P-1222-3093       22h49m12.2265s    -44d33m09.316s    342.30094    -44.55258    G        2362364.569040    7.8800
498    [IKO2018] HFF5P-1226-3152       22h49m12.2676s    -44d33m15.256s    342.30111    -44.55423    G        1759781.728460    5.8700
499    [IKO2018] HFF5P-1375-1572       22h49m13.7523s    -44d31m57.248s    342.30730    -44.53256    G        1837427.975082    6.1290
500    [IKO2018] HFF5P-1255-3099       22h49m12.5568s    -44d33m09.918s    342.30232    -44.55275    G        1759781.728460    5.8700
501    [IKO2018] HFF5P-1200-3339       22h49m11.9982s    -44d33m33.962s    342.29999    -44.55943    G        1863210.126470    6.2150
502    ABELL S1063:[LBL2018] par017    22h49m12.1191s    -44d33m32.877s    342.30049    -44.55913    G        1509155.233572    5.0340
503    WISEA J224913.79-443241.4       22h49m13.7918s    -44d32m41.442s    342.30746    -44.54484    IrS        59958.491600    0.2000
504    SSTSL2 J224832.46-442703.5      22h48m32.4619s    -44d27m03.561s    342.13525    -44.45098    XrayS     110203.707560    0.3676
505    HLS J224913.0-443321            22h49m12.8377s    -44d33m22.903s    342.30349    -44.55636    IrS       239833.966400    0.8000
506    LCRS B224618.5-444549           22h49m13.0040s    -44d29m54.984s    342.30418    -44.49860    G          64845.108665    0.2163
507    ABELL S1063:[LBL2018] par005    22h49m14.8549s    -44d31m41.814s    342.31189    -44.52828    G        1437205.043652    4.7940
508    [IKO2018] HFF5P-1449-2384       22h49m14.4950s    -44d32m38.482s    342.31039    -44.54402    G        1828733.993800    6.1000
509    [IKO2018] HFF5P-1475-2258       22h49m14.7512s    -44d32m25.805s    342.31146    -44.54050    G        1839226.729830    6.1350
510    ABELL S1063:[LBL2018] par002    22h49m15.2899s    -44d31m32.527s    342.31370    -44.52570    G        1426412.515164    4.7580
511    LCRS B224612.6-444349           22h49m07.0673s    -44d27m58.090s    342.27944    -44.46613    G          24490.045894    0.0816
512    ABELL S1063:[LBL2018] par011    22h49m15.1443s    -44d32m13.272s    342.31310    -44.53702    G        1457291.138338    4.8610
513    ABELL S1063:[LBL2018] par028    22h49m13.7105s    -44d33m21.194s    342.30712    -44.55588    G        1660550.424862    5.5390
514    [IKO2018] HFF5P-1542-1441       22h49m15.4276s    -44d31m44.126s    342.31428    -44.52892    G        1768775.502200    5.9000
515    [IKO2018] HFF5P-1423-3086       22h49m14.2320s    -44d33m08.606s    342.30930    -44.55239    G        1839826.314746    6.1370
516    WISEA J224907.14-442755.9       22h49m07.1457s    -44d27m55.966s    342.27977    -44.46554    G          24606.964952    0.0820
517    ABELL S1063:[LBL2018] par008    22h49m13.3328s    -44d33m39.152s    342.30555    -44.56087    G        1451894.874094    4.8430
518    [IKO2018] HFF5P-1545-2093       22h49m15.4582s    -44d32m09.408s    342.31440    -44.53594    G        1826035.861678    6.0910
519    [IKO2018] HFF5P-1372-3301       22h49m13.7280s    -44d33m30.171s    342.30720    -44.55838    G        1972634.373640    6.5800
520    WISEA J224915.55-443217.9       22h49m15.5504s    -44d32m17.963s    342.31479    -44.53832    IrS       509647.178600    1.7000
521    [IKO2018] HFF5P-1436-3153       22h49m14.3657s    -44d33m15.322s    342.30985    -44.55425    G        1843124.031784    6.1480
522    [IKO2018] HFF5P-1436-3158       22h49m14.3620s    -44d33m15.814s    342.30984    -44.55439    G        1858713.239600    6.2000
523    [IKO2018] HFF5P-1537-2327       22h49m15.3712s    -44d32m32.740s    342.31404    -44.54242    G        1738796.256400    5.8000
524    [IKO2018] HFF5P-1617-1544       22h49m16.1793s    -44d31m54.465s    342.31741    -44.53179    G         539626.424400    1.8000
525    [IKO2018] HFF5P-1545-2521       22h49m15.4539s    -44d32m52.098s    342.31439    -44.54780    G        1828733.993800    6.1000
526    ABELL S1063:[LBL2018] par024    22h49m13.8744s    -44d33m44.812s    342.30781    -44.56244    G        1583503.763156    5.2820
527    [IKO2018] HFF5P-1587-2418       22h49m15.8781s    -44d32m41.863s    342.31615    -44.54496    G        1747790.030140    5.8300
528    [IKO2018] HFF5P-1653-1381       22h49m16.5309s    -44d31m38.090s    342.31887    -44.52724    G        1786763.049680    5.9600
529    HLS J224913.6-443401            22h49m13.6046s    -44d34m01.099s    342.30668    -44.56697    IrS       299792.458000    1.0000
530    ABELL S1063:[LBL2018] par021    22h49m16.6111s    -44d32m18.843s    342.31921    -44.53856    G        1561019.328806    5.2070
531    ABELL S1063:[LBL2018] par004    22h49m16.5869s    -44d32m40.400s    342.31911    -44.54455    G        1436905.251194    4.7930
532    ABELL S1063:[LBL2018] par025    22h49m16.5018s    -44d32m46.073s    342.31875    -44.54613    G        1616780.725994    5.3930
533    WISEA J224916.86-443046.1       22h49m16.8652s    -44d30m46.108s    342.32027    -44.51280    IrS       389730.195400    1.3000
534    LCRS B224621.2-444542           22h49m15.7074s    -44d29m49.334s    342.31544    -44.49703    G          44818.972471    0.1495
535    WISEA J224917.32-443114.4       22h49m17.3202s    -44d31m14.434s    342.32216    -44.52067    IrS       359750.949600    1.2000
536    [IKO2018] HFF5P-1512-3461       22h49m15.1216s    -44d33m46.184s    342.31300    -44.56282    G        1888692.485400    6.3000
537    [IKO2018] HFF5P-1742-2148       22h49m17.4289s    -44d32m14.803s    342.32262    -44.53744    G        2068567.960200    6.9000
538    [IKO2018] HFF5P-1550-3408       22h49m15.5091s    -44d33m40.824s    342.31462    -44.56134    G        1959443.505488    6.5360
539    ABELL S1063:[LBL2018] par013    22h49m17.5739s    -44d32m10.760s    342.32322    -44.53632    G        1477677.025482    4.9290
540    [IKO2018] HFF5P-1554-3415       22h49m15.5490s    -44d33m41.512s    342.31478    -44.56153    G        1891090.825064    6.3080
541    [IKO2018] HFF5P-1716-2450       22h49m17.1607s    -44d32m45.016s    342.32150    -44.54583    G        1696825.312280    5.6600
542    ABELL S1063:[LBL2018] par007    22h49m18.0010s    -44d31m43.478s    342.32500    -44.52874    G        1439303.590858    4.8010
543    ABELL S1063:[LBL2018] par030    22h49m15.5756s    -44d33m48.756s    342.31489    -44.56354    G        1688131.330998    5.6310
544    ABELL S1063:[LBL2018] par018    22h49m15.8039s    -44d33m48.854s    342.31584    -44.56357    G        1513052.535526    5.0470
545    HLS J224917.8-443256            22h49m17.7604s    -44d32m55.698s    342.32400    -44.54880    IrS       269813.212200    0.9000
546    ABELL S1063:[LBL2018] par022    22h49m18.2334s    -44d32m42.298s    342.32597    -44.54508    G        1564916.630760    5.2200
547    ABELL S1063:[LBL2018] par014    22h49m17.6238s    -44d33m16.700s    342.32343    -44.55463    G        1489968.516260    4.9700
548    ABELL S1063:[LBL2018] par003    22h49m17.6593s    -44d33m16.951s    342.32358    -44.55470    G        1433907.326614    4.7830
549    ABELL S1063:[LBL2018] par023    22h49m19.0400s    -44d31m59.400s    342.32933    -44.53316    G        1575109.574332    5.2540
550    [IKO2018] HFF5P-1912-1491       22h49m19.1232s    -44d31m49.098s    342.32968    -44.53030    G        2277823.095884    7.5980
551    [IKO2018] HFF5P-1957-1523       22h49m19.5770s    -44d31m52.363s    342.33157    -44.53121    G        1738796.256400    5.8000
552    [IKO2018] HFF5P-1870-3096       22h49m18.7058s    -44d33m09.662s    342.32794    -44.55268    G         419709.441200    1.4000
553    [IKO2018] HFF5P-1949-2315       22h49m19.4983s    -44d32m31.545s    342.33124    -44.54209    G        1678837.764800    5.6000
554    [IKO2018] HFF5P-1975-2112       22h49m19.7517s    -44d32m11.205s    342.33229    -44.53644    G         638557.935540    2.1300
555    [IKO2018] HFF5P-1929-2524       22h49m19.2938s    -44d32m52.425s    342.33039    -44.54789    G        2078760.903772    6.9340
556    [IKO2018] HFF5P-1915-3110       22h49m19.1523s    -44d33m11.014s    342.32980    -44.55305    G        1922569.033154    6.4130
557    ABELL S1063:[LBL2018] par019    22h49m20.3766s    -44d32m16.120s    342.33490    -44.53781    G        1530740.290548    5.1060
558    [IKO2018] HFF5P-2042-2369       22h49m20.4280s    -44d32m36.967s    342.33511    -44.54360    G        2488277.401400    8.3000
559    [IKO2018] HFF5P-2027-2472       22h49m20.2773s    -44d32m47.292s    342.33448    -44.54647    G        2161503.622180    7.2100
560    ABELL S1063:[LBL2018] par015    22h49m20.6718s    -44d32m20.007s    342.33613    -44.53889    G        1498062.912626    4.9970
561    ABELL S1063:[LBL2018] par009    22h49m20.7029s    -44d32m20.123s    342.33626    -44.53892    G        1456691.553422    4.8590
562    [IKO2018] HFF5P-2055-2411       22h49m20.5591s    -44d32m41.103s    342.33566    -44.54475    G         419709.441200    1.4000
563    [IKO2018] HFF5P-1940-3315       22h49m19.4088s    -44d33m31.582s    342.33087    -44.55877    G        1708817.010600    5.7000
564    [IKO2018] HFF5P-1908-3457       22h49m19.0814s    -44d33m45.738s    342.32950    -44.56270    G          89937.737400    0.3000
565    [IKO2018] HFF5P-1992-3212       22h49m19.9243s    -44d33m21.297s    342.33301    -44.55591    G        1933661.354100    6.4500
566    [IKO2018] HFF5P-2129-2064       22h49m21.2963s    -44d32m06.448s    342.33873    -44.53512    G        2267330.359854    7.5630
567    ABELL S1063:[LBL2018] par001    22h49m21.4058s    -44d31m49.344s    342.33919    -44.53037    G        1424913.552874    4.7530
568    ABELL S1063:[LBL2018] par016    22h49m21.5483s    -44d31m53.145s    342.33978    -44.53142    G        1498362.705084    4.9980
569    [IKO2018] HFF5P-2116-2400       22h49m21.1675s    -44d32m40.099s    342.33819    -44.54447    G        1702821.161440    5.6800
570    [IKO2018] HFF5P-2092-3100       22h49m20.9248s    -44d33m10.062s    342.33718    -44.55279    G        2458298.155600    8.2000
571    [IKO2018] HFF5P-2195-1585       22h49m21.9562s    -44d31m58.532s    342.34148    -44.53292    G        1909977.749918    6.3710
572    [IKO2018] HFF5P-2100-3210       22h49m21.0026s    -44d33m21.047s    342.33751    -44.55584    G        1858413.447142    6.1990
573    [IKO2018] HFF5P-2068-3353       22h49m20.6824s    -44d33m35.341s    342.33617    -44.55981    G        1918671.731200    6.4000
574    WISEA J224920.68-443338.1       22h49m20.6878s    -44d33m38.112s    342.33619    -44.56058    IrS       629564.161800    2.1000
575    [IKO2018] HFF5P-2243-2024       22h49m22.4392s    -44d32m02.472s    342.34349    -44.53402    G        1756783.803880    5.8600
576    ABELL S1063:[LBL2018] par027    22h49m21.6231s    -44d33m14.648s    342.34009    -44.55406    G        1650057.688832    5.5040
577    ABELL S1063:[LBL2018] par012    22h49m21.5438s    -44d33m27.656s    342.33976    -44.55768    G        1477377.233024    4.9280
578    WISEA J224922.66-443236.7       22h49m22.6654s    -44d32m36.747s    342.34443    -44.54354    IrS       239833.966400    0.8000
579    ABELL S1063:[LBL2018] par020    22h49m22.1776s    -44d33m21.132s    342.34240    -44.55587    G        1546629.290822    5.1590
580    [IKO2018] HFF5P-2357-2040       22h49m23.5687s    -44d32m04.082s    342.34820    -44.53446    G        1701022.406692    5.6740
581    ABELL S1063:[LBL2018] par033    22h49m22.7431s    -44d33m07.560s    342.34476    -44.55210    G        1706418.670936    5.6920
582    [IKO2018] HFF5P-2227-3287       22h49m22.2777s    -44d33m28.764s    342.34282    -44.55799    G        1672841.915640    5.5800
583    ABELL S1063:[LBL2018] par026    22h49m22.8014s    -44d33m06.894s    342.34500    -44.55191    G        1629671.801688    5.4360
584    ABELL S1063:[LBL2018] par006    22h49m22.6607s    -44d33m20.985s    342.34441    -44.55582    G        1437804.628568    4.7960
585    ABELL S1063:[LBL2018] par010    22h49m22.0501s    -44d33m53.699s    342.34187    -44.56491    G        1456991.345880    4.8600
586    WISEA J224924.75-443258.6       22h49m24.7504s    -44d32m58.625s    342.35312    -44.54961    IrS       419709.441200    1.4000
587    WISEA J224926.07-443223.2       22h49m26.0709s    -44d32m23.209s    342.35862    -44.53978    IrS       599584.916000    2.0000
588    WISEA J224925.55-443333.1       22h49m25.5529s    -44d33m33.144s    342.35647    -44.55920    IrS        29979.245800    0.1000
589    WISEA J224926.75-443307.9       22h49m26.7558s    -44d33m07.924s    342.36148    -44.55220    IrS       689522.653400    2.3000
590    LCRS B224627.1-444154           22h49m21.5678s    -44d26m00.814s    342.33986    -44.43355    G          63880.976120    0.2130
591    LCRS B224459.7-444859           22h47m54.5912s    -44d33m07.452s    341.97746    -44.55207    G          24347.044891    0.0812
592    LCRS B224511.7-445337           22h48m06.5288s    -44d37m44.472s    342.02720    -44.62902    G          20617.027129    0.0687
593    SSTSL2 J224822.04-442301.4      22h48m22.0448s    -44d23m01.417s    342.09185    -44.38372    XrayS     242652.015505    0.8094
594    LCRS B224545.9-445836           22h48m40.6592s    -44d42m43.367s    342.16941    -44.71204    G          42635.883791    0.1422
595    LCRS B224524.9-445809           22h48m19.8765s    -44d42m17.132s    342.08281    -44.70475    G          47694.881520    0.1590
596    LCRS B224453.2-444059           22h47m48.0926s    -44d25m09.227s    341.95038    -44.41922    G          33175.932779    0.1106
597    LCRS B224629.6-445750           22h49m24.1582s    -44d41m56.301s    342.35065    -44.69897    G          41693.036511    0.1390
598    WISEA J224745.49-443808.6       22h47m45.4923s    -44d38m08.680s    341.93955    -44.63574    IrS        24705.896463    0.0824
599    6dF J2247455-443809             22h47m45.5000s    -44d38m08.900s    341.93958    -44.63580    G          24705.896463    0.0824
600    LCRS B224619.2-443555           22h49m13.6344s    -44d20m01.834s    342.30681    -44.33384    G          37087.924564    0.1237
601    PKS 2244-448                    22h47m41.0580s    -44d37m04.742s    341.92107    -44.61798    RadioS    686824.521278    2.2910
602    LCRS B224644.3-445755           22h49m38.8556s    -44d42m01.384s    342.41189    -44.70038    G          41642.071793    0.1389
603    SPT-CL J2249-4442               22h49m37.6560s    -44d42m56.880s    342.40690    -44.71580    GClstr    188576.463169    0.6290
604    LCLG -45 223                    22h49m10.0743s    -44d46m25.024s    342.29197    -44.77361    GGroup     26831.425770    0.0895
605    LCRS B224618.6-450209           22h49m13.2602s    -44d46m15.614s    342.30525    -44.77100    G          26915.966464    0.0897
606    WISEA J224931.92-441730.2       22h49m31.9299s    -44d17m30.223s    342.38304    -44.29172    UvS       653547.558440    2.1800
607    WISEA J224907.85-441515.1       22h49m07.8533s    -44d15m15.199s    342.28272    -44.25422    G         706332.016520    2.3560
608    LCRS B224605.2-450437           22h49m00.0119s    -44d48m44.138s    342.25004    -44.81226    G          17533.062113    0.0584
609    LCRS B224731.4-444516           22h50m25.6170s    -44d29m21.382s    342.60673    -44.48927    G           9926.128284    0.0331
610    2MFGC 17151                     22h48m21.7936s    -44d50m44.755s    342.09080    -44.84576    G          15507.064682    0.0517
611    LCRS B224719.3-443530           22h50m13.5024s    -44d19m35.262s    342.55626    -44.32646    G           9876.062704    0.0329
612    LCRS B224724.6-445942           22h50m18.9535s    -44d43m46.844s    342.57897    -44.72967    G          20578.953486    0.0686
613    LCRS B224609.6-450825           22h49m04.3801s    -44d52m32.521s    342.26825    -44.87570    G          20596.041657    0.0687
614    LCRS B224348.5-444829           22h46m43.7851s    -44d32m38.825s    341.68243    -44.54411    G          27168.091921    0.0906
615    LCRS B224458.9-442653           22h47m53.5915s    -44d11m01.991s    341.97329    -44.18388    G          35823.999561    0.1194
616    LCRS B224438.8-450748           22h47m34.0863s    -44d51m56.399s    341.89202    -44.86566    G          41395.042808    0.1380
617    LCRS B224605.1-451309           22h48m59.9345s    -44d57m16.003s    342.24972    -44.95444    G          20595.142279    0.0686
618    AT 2018fyk HOST                 22h50m16.0981s    -44d51m53.421s    342.56707    -44.86483    G          17987.547480    0.0600
619    AT 2018fyk                      22h50m16.0900s    -44d51m53.500s    342.56704    -44.86486    VisS       17687.755022    0.0590
620    LCRS B224629.7-451226           22h49m23.8836s    -44d56m37.614s    342.34951    -44.94378    G          17582.827122    0.0586
621    LCRS B224719.0-450955           22h50m13.4791s    -44d54m01.378s    342.55616    -44.90038    G          21033.139060    0.0701
622    LCRS B224406.7-442726           22h47m01.6582s    -44d11m35.808s    341.75690    -44.19328    G          48283.074323    0.1610
