 ID    Name                            RA-s               Dec-s            RA            Dec         Type      Velocity         Redshift
 62    ABELL S1063:[DBW2016] 34.3      22h48m45.4970s    -44d31m20.800s    342.18957    -44.52244    G_Lens    569605.670200    1.9000
 63    ABELL S1063:[KCC2017] NE-085    22h48m44.5824s    -44d31m26.580s    342.18576    -44.52405    G         145249.445901    0.4845
 64    ABELL S1063:[KCC2017] NE-044    22h48m46.9848s    -44d31m26.940s    342.19577    -44.52415    IrS       103728.190468    0.3460
 65    ABELL S1063:[DBW2016] 21.4      22h48m45.6850s    -44d31m53.650s    342.19035    -44.53156    G_Lens    224844.343500    0.7500
 66    SSTSL2 J224844.23-443141.1      22h48m44.2320s    -44d31m41.052s    342.18430    -44.52807    IrS        99531.096056    0.3320
 67    SSTSL2 J224844.17-443136.9      22h48m44.1744s    -44d31m36.984s    342.18406    -44.52694    IrS       105047.277283    0.3504
 68    ABELL S1063:[KCC2017] NE-079    22h48m47.2080s    -44d31m44.724s    342.19670    -44.52909    G         107085.865997    0.3572
 69    SSTSL2 J224844.23-443131.0      22h48m44.2296s    -44d31m31.044s    342.18429    -44.52529    IrS       209854.720600    0.7000
 70    ABELL S1063:[KCC2017] NE-022    22h48m47.0136s    -44d31m25.248s    342.19589    -44.52368    IrS       101929.435720    0.3400
 71    ABELL S1063:[KCC2017] NE-045    22h48m44.2872s    -44d31m45.516s    342.18453    -44.52931    G         103818.128205    0.3463
 72    ABELL S1063:[DBW2016] 34.4      22h48m45.2980s    -44d31m19.450s    342.18874    -44.52206    G_Lens    581687.306257    1.9403
 73    ABELL S1063:[KCC2017] NE-050    22h48m44.5656s    -44d31m49.836s    342.18569    -44.53051    G         104057.962171    0.3471
 74    SSTSL2 J224846.30-443119.5      22h48m46.3032s    -44d31m19.452s    342.19293    -44.52207    IrS       102858.792339    0.3431
 75    SSTSL2 J224847.31-443128.8      22h48m47.3064s    -44d31m28.812s    342.19711    -44.52467    IrS      1034703.689541    3.4514
 76    ABELL S1063:[KCC2017] NE-051    22h48m44.7912s    -44d31m51.924s    342.18663    -44.53109    G         104177.879155    0.3475
 77    ABELL S1063:[KIS2018] 68.1      22h48m44.0361s    -44d31m35.234s    342.18348    -44.52645    G_Lens    779460.390800    2.6000
 78    SSTSL2 J224844.80-443120.5      22h48m44.7912s    -44d31m20.928s    342.18663    -44.52248    IrS       101569.684770    0.3388
 79    SSTSL2 J224847.57-443138.9      22h48m47.5752s    -44d31m38.676s    342.19823    -44.52741    IrS       108105.160354    0.3606
 80    SSTSL2 J224846.62-443120.0      22h48m46.6104s    -44d31m19.524s    342.19421    -44.52209    IrS       102648.937619    0.3424
 81    ABELL S1063:[KCC2017] NE-094b   22h48m47.0760s    -44d31m22.512s    342.19615    -44.52292    G_Lens    985028.079250    3.2857
