

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.


queryDateTime:2007-11-21T06:10:20PST



Main Information Table for ABELL 0085



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|pos_ra_equ|pos_dec_equ|Object Type|Velocity|Redshift|Redshift_flag|DistanceArcmin|Number of References|Number of Notes|Number of Photometry Data Points|Number of Position Data Points|Number of Redshift Data Points|Number of Diameter Data Points|Number of Associations
84|ABELL 0085:[SDG98] 0074|  9.48858 |  -9.27697 |G|||||1|0|0|0|0|0|0
85|ABELL 0085:[SDG98] 0075|  9.48896 |  -8.63664 |G|||||1|0|0|0|0|0|0
86|MCG -02-02-073|  9.48954 |  -9.25258 |G|  5239| 0.017474 |    ||19|0|19|0|3|6|0
87|ABELL 0085:[SDG98] 0077|  9.48979 |  -8.46875 |G|||||1|0|0|0|0|0|0
88|APMUKS(BJ) B003525.66-100541.2|  9.48987 |  -9.82000 |G|||||1|0|1|1|0|0|0
89|ABELL 0085:[SDG98] 0079|  9.49000 |  -8.79697 |G|||||1|0|0|0|0|0|0
90|APMUKS(BJ) B003526.02-100051.8|  9.49137 |  -9.73939 |G|||||1|0|1|1|0|0|0
91|APMUKS(BJ) B003525.98-083948.0|  9.49242 |  -8.38844 |G|||||1|0|1|1|0|0|0
92|ABELL 0085:[SDG98] 0082|  9.49287 |  -9.61553 |G|||||1|0|0|0|0|0|0
93|APMUKS(BJ) B003526.19-084410.2|  9.49325 |  -8.46133 |G|||||1|0|1|1|0|0|0
94|APMUKS(BJ) B003526.20-085052.6|  9.49325 |  -8.57328 |G|||||1|0|1|1|0|0|0
95|APMUKS(BJ) B003526.45-094143.7|  9.49346 |  -9.42050 |G|||||1|0|1|1|0|0|0
96|ABELL 0085:[SDG98] 0086|  9.49387 |  -8.77336 |G|||||1|0|0|0|0|0|0
97|ABELL 0085:[SDG98] 0087|  9.49554 |  -9.64431 |G|||||1|0|0|0|0|0|0
98|APMUKS(BJ) B003526.80-085151.2|  9.49563 |  -8.58942 |G|||||1|0|1|1|0|0|0
99|ABELL 0085:[SDG98] 0089|  9.49621 |  -9.13964 |G|||||1|0|0|0|0|0|0
100|ABELL 0085:[SDG98] 0090|  9.49667 |  -9.27589 |G|||||1|0|0|0|0|0|0
101|APMUKS(BJ) B003527.29-093607.4|  9.49704 |  -9.32719 |G|||||1|0|1|1|0|0|0
102|ABELL 0085:[SDG98] 0092|  9.49721 |  -8.73967 |G|||||1|0|0|0|0|0|0
103|ABELL 0085:[SDG98] 0093|  9.49746 |  -9.69403 |G|||||1|0|0|0|0|0|0
104|ABELL 0085:[SDG98] 0094|  9.49821 |  -9.86619 |G|||||1|0|0|0|0|0|0
105|ABELL 0085:[SDG98] 0095|  9.49833 |  -8.81708 |G|||||1|0|0|0|0|0|0
106|APMUKS(BJ) B003527.59-085619.9|  9.49879 |  -8.66408 |G|||||1|0|1|1|0|0|0
107|ABELL 0085:[SDG98] 0097|  9.50133 |  -9.19072 |G|||||1|0|0|0|0|0|0
108|ABELL 0085:[SDG98] 0098|  9.50229 |  -8.77317 |G|||||1|0|0|0|0|0|0
109|ABELL 0085:[SDG98] 0099|  9.50287 |  -8.82550 |G|||||1|0|0|0|0|0|0
110|APMUKS(BJ) B003528.90-085420.2|  9.50433 |  -8.63078 |G|||||1|0|1|1|0|0|0
111|ABELL 0085:[SDG98] 0101|  9.50450 |  -9.40072 |G|||||1|0|0|0|0|0|0
112|2MASX J00380132-0906402|  9.50560 |  -9.11128 |G| 45022| 0.150177 |    ||1|0|29|2|1|6|0
113|ABELL 0085:[SDG98] 0103|  9.50567 |  -9.28472 |G|||||1|0|0|0|0|0|0
114|APMUKS(BJ) B003529.40-090011.6|  9.50629 |  -8.72833 |G|||||1|0|1|1|0|0|0
115|APMUKS(BJ) B003529.69-102521.1|  9.50650 | -10.14769 |G|||||1|0|1|1|0|0|0
116|ABELL 0085:[SDG98] 0106|  9.50733 |  -8.54706 |G|||||1|0|0|0|0|0|0
117|APMUKS(BJ) B003529.70-083514.9|  9.50779 |  -8.31264 |G|||||1|0|1|1|0|0|0
118|APMUKS(BJ) B003530.03-093206.4|  9.50850 |  -9.26019 |G|||||1|0|1|1|0|0|0
119|ABELL 0085:[SDG98] 0109|  9.50871 |  -9.72142 |G|||||1|0|0|0|0|0|0
