

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.


queryDateTime:2007-11-21T06:10:20PST



Main Information Table for ABELL 0085



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|pos_ra_equ|pos_dec_equ|Object Type|Velocity|Redshift|Redshift_flag|DistanceArcmin|Number of References|Number of Notes|Number of Photometry Data Points|Number of Position Data Points|Number of Redshift Data Points|Number of Diameter Data Points|Number of Associations
2139|ABELL 0085:[SDG98] A276| 10.42033 |  -9.18986 |G|||||1|0|0|0|0|0|0
2140|ABELL 0085:[SDG98] A277| 10.42050 |  -9.30139 |G|||||1|0|0|0|0|0|0
2141|ABELL 0085:[SDG98] A278| 10.42054 |  -9.41214 |G|||||1|0|0|0|0|0|0
2142|SDSS J004140.94-085048.2| 10.42061 |  -8.84675 |G| 40007| 0.133449 |    ||6|0|21|3|3|4|0
2143|ABELL 0085:[SDG98] A279| 10.42062 |  -9.32336 |G|||||1|0|0|0|0|0|0
2144|APMUKS(BJ) B003909.17-094801.7| 10.42071 |  -9.52619 |G|||||1|0|1|1|0|0|0
2145|ABELL 0085:[SDG98] A280| 10.42104 |  -9.38536 |G|||||1|0|0|0|0|0|0
2146|ABELL 0085:[SDG98] A283| 10.42179 |  -9.21917 |G|||||1|0|0|0|0|0|0
2147|APMUKS(BJ) B003909.55-101012.2| 10.42188 |  -9.89583 |G|||||1|0|1|1|0|0|0
2148|2MASX J00414133-0918569| 10.42196 |  -9.31591 |G| 14283| 0.047643 |    ||15|0|31|3|4|6|0
2149|ABELL 0085:[SDG98] A284| 10.42200 |  -9.21228 |G|||||1|0|0|0|0|0|0
2150|ABELL 0085:[SDG98] A285| 10.42200 |  -9.42836 |G|||||1|0|0|0|0|0|0
2151|ABELL 0085:[SDG98] A286| 10.42212 |  -9.23331 |G|||||1|0|0|0|0|0|0
2152|SDSS J004141.38-092621.5| 10.42225 |  -9.43925 |G| 16305| 0.054388 |    ||6|0|22|2|2|4|0
2153|ABELL 0085:[SDG98] A288| 10.42233 |  -9.38817 |G|||||1|0|0|0|0|0|0
2154|[SRA96] 003909.46-093025.6| 10.42238 |  -9.23297 |G|||||2|0|0|0|0|0|0
2155|ABELL 0085:[SDG98] 1831| 10.42258 |  -9.43667 |G|||||1|0|0|0|0|0|0
2156|ABELL 0085:[SDG98] A289| 10.42263 |  -9.38997 |G|||||1|0|0|0|0|0|0
2157|ABELL 0085:[SDG98] A290| 10.42267 |  -9.43664 |G|||||1|0|0|0|0|0|0
2158|APMUKS(BJ) B003909.83-102641.8| 10.42267 | -10.17086 |G|||||1|0|1|1|0|0|0
2159|ABELL 0085:[SDG98] 1833| 10.42267 |  -9.22006 |G|||||1|0|0|0|0|0|0
2160|APMUKS(BJ) B003909.64-092914.4| 10.42279 |  -9.21308 |G|||||1|0|1|1|0|0|0
2161|ABELL 0085:[SDG98] A291| 10.42296 |  -9.22483 |G|||||1|0|0|0|0|0|0
2162|APMUKS(BJ) B003909.74-094518.3| 10.42300 |  -9.48086 |G|||||1|0|1|1|0|0|0
2163|ABELL 0085:[SDG98] A292| 10.42308 |  -9.48167 |G|||||1|0|0|0|0|0|0
2164|ABELL 0085:[SDG98] 1836| 10.42317 |  -9.57300 |G|||||1|0|0|0|0|0|0
2165|ABELL 0085:[SDG98] A293| 10.42329 |  -9.21750 |G|||||1|0|0|0|0|0|0
2166|ABELL 0085:[SDG98] A294| 10.42350 |  -9.26914 |G|||||1|0|0|0|0|0|0
2167|NVSS J004141-091413| 10.42370 |  -9.23686 |RadioS|||||2|0|1|0|0|0|0
2168|ABELL 0085:[SDG98] 1837| 10.42375 | -10.24700 |G|||||1|0|0|0|0|0|0
2169|ABELL 0085:[SDG98] A295| 10.42421 |  -9.31844 |G|||||1|0|0|0|0|0|0
2170|ABELL 0085:[SDG98] 1838| 10.42437 |  -9.73033 |G|||||1|0|0|0|0|0|0
2171|ABELL 0085:[SDG98] 1840| 10.42500 |  -9.79050 |G|||||1|0|0|0|0|0|0
2172|APMUKS(BJ) B003910.26-095602.0| 10.42512 |  -9.65972 |G| 45519| 0.151835 |    ||3|0|1|1|0|0|0
2173|ABELL 0085:[SDG98] A296| 10.42521 |  -9.20367 |G|||||1|0|0|0|0|0|0
2174|ABELL 0085:[SDG98] A297| 10.42538 |  -9.28944 |G|||||1|0|0|0|0|0|0
2175|ABELL 0085:[SDG98] A298| 10.42563 |  -9.23186 |G|||||1|0|0|0|0|0|0
2176|APMUKS(BJ) B003910.19-084957.9| 10.42567 |  -8.55859 |G| 16981| 0.056642 |    ||2|0|1|1|0|0|0
2177|ABELL 0085:[SDG98] A301| 10.42583 |  -9.44450 |G|||||1|0|0|0|0|0|0
2178|ABELL 0085:[SDG98] A299| 10.42583 |  -9.30453 |G|||||1|0|0|0|0|0|0
2179|ABELL 0085:[SDG98] A300| 10.42583 |  -9.26650 |G|||||1|0|0|0|0|0|0
2180|ABELL 0085:[SDG98] A302| 10.42613 |  -9.31142 |G|||||1|0|0|0|0|0|0
2181|APMUKS(BJ) B003910.48-092844.3| 10.42621 |  -9.20478 |G|||||1|0|1|1|0|0|0
2182|ABELL 0085:[SDG98] A303| 10.42633 |  -9.29656 |G|||||1|0|0|0|0|0|0
2183|APMUKS(BJ) B003910.38-084433.4| 10.42642 |  -8.46844 |G|||||1|0|1|1|0|0|0
2184|ABELL 0085:[SDG98] 1844| 10.42654 | -10.27503 |G|||||1|0|0|0|0|0|0
2185|ABELL 0085:[SDG98] A305| 10.42654 |  -9.33531 |G|||||1|0|0|0|0|0|0
2186|SDSS J004142.47-092125.9| 10.42683 |  -9.35722 |G| 14737| 0.049156 |    ||7|0|21|2|1|4|0
2187|ABELL 0085:[SDG98] A306| 10.42688 |  -9.25833 |G|||||1|0|0|0|0|0|0
2188|APMUKS(BJ) B003910.72-094137.5| 10.42713 |  -9.41950 |G| 18476| 0.061629 |    ||3|0|1|1|0|0|0
2189|ABELL 0085:[SDG98] A307| 10.42713 |  -9.41947 |G|||||1|0|0|0|0|0|0
2190|APMUKS(BJ) B003910.68-091424.7| 10.42729 |  -8.96620 |G| 16150| 0.053871 |    ||7|0|1|2|1|0|0
2191|ABELL 0085:[SDG98] 1849| 10.42746 |  -9.25853 |G|||||1|0|0|0|0|0|0
2192|ABELL 0085:[SDG98] A308| 10.42804 |  -9.18839 |G|||||1|0|0|0|0|0|0
2193|ABELL 0085:[SDG98] A309| 10.42817 |  -9.45006 |G|||||1|0|0|0|0|0|0
2194|ABELL 0085:[SDG98] A310| 10.42825 |  -9.34317 |G|||||1|0|0|0|0|0|0
2195|APMUKS(BJ) B003910.80-083509.9| 10.42838 |  -8.31197 |G|||||1|0|1|1|0|0|0
2196|ABELL 0085:[SDG98] A312| 10.42838 |  -9.40764 |G|||||1|0|0|0|0|0|0
2197|SDSS J004142.90-090615.3| 10.42842 |  -9.10425 |G| 16028| 0.053464 |    ||8|0|22|3|3|4|0
2198|ABELL 0085:[SDG98] A313| 10.42850 |  -9.42356 |G|||||1|0|0|0|0|0|0
2199|ABELL 0085:[SDG98] 1851| 10.42863 |  -9.34319 |G|||||1|0|0|0|0|0|0
2200|ABELL 0085:[SDG98] A314| 10.42887 |  -9.32692 |G|||||1|0|0|0|0|0|0
2201|ABELL 0085:[SDG98] 1845| 10.42892 |  -9.32070 |*|||||2|0|0|0|0|0|0
2202|ABELL 0085:[SDG98] A315| 10.42913 |  -9.43172 |G|||||1|0|0|0|0|0|0
2203|MCG -02-02-084| 10.42938 |  -9.43953 |G| 16886| 0.056326 |    ||24|0|10|4|3|3|0
2204|ABELL 0085:[SDG98] 1854| 10.42946 |  -9.32706 |G|||||1|0|0|0|0|0|0
2205|[SRA96] 003911.17-093051.6| 10.42950 |  -9.24028 |G|||||2|0|0|0|0|0|0
2206|APMUKS(BJ) B003911.53-102035.6| 10.42987 | -10.06906 |G|||||1|0|1|1|0|0|0
2207|ABELL 0085:[SDG98] A317| 10.43004 |  -9.36064 |G|||||1|0|0|0|0|0|0
2208|ABELL 0085:[SDG98] A318| 10.43004 |  -9.35375 |G|||||1|0|0|0|0|0|0
2209|2MASX J00414324-1008199| 10.43011 | -10.13895 |G| 23005| 0.076738 |    ||1|0|30|2|2|6|0
2210|ABELL 0085:[DLF2005] 10| 10.43018 |  -9.45974 |XrayS|||||1|0|0|0|0|0|0
2211|ABELL 0085:[SDG98] 1858| 10.43029 |  -9.35361 |G|||||1|0|0|0|0|0|0
2212|ABELL 0085:[SDG98] A319| 10.43029 |  -9.34872 |G|||||1|0|0|0|0|0|0
2213|ABELL 0085:[SDG98] A320| 10.43037 |  -9.30556 |G|||||1|0|0|0|0|0|0
2214|ABELL 0085:[SDG98] A321| 10.43050 |  -9.29656 |G|||||1|0|0|0|0|0|0
2215|ABELL 0085:[SDG98] A322| 10.43062 |  -9.19572 |G|||||1|0|0|0|0|0|0
2216|ABELL 0085:[SDG98] A323| 10.43092 |  -9.24986 |G|||||1|0|0|0|0|0|0
2217|ABELL 0085:[SDG98] A324| 10.43092 |  -9.40239 |G|||||1|0|0|0|0|0|0
2218|ABELL 0085:[SDG98] 1859| 10.43121 |  -9.29722 |G|||||1|0|0|0|0|0|0
2219|APMUKS(BJ) B003911.59-090236.0| 10.43125 |  -8.76917 |G|||||1|0|1|1|0|0|0
2220|APMUKS(BJ) B003911.72-093127.7| 10.43133 |  -9.25022 |G|||||1|0|1|1|0|0|0
2221|ABELL 0085:[SDG98] A326| 10.43133 |  -9.30419 |G|||||1|0|0|0|0|0|0
2222|SDSS J004143.56-092530.4| 10.43142 |  -9.42511 |G| 16923| 0.056450 |    ||8|0|22|2|1|4|0
2223|ABELL 0085:[SDG98] 1863| 10.43167 |  -9.42964 |G|||||1|0|0|0|0|0|0
2224|ABELL 0085:[SDG98] A327| 10.43175 |  -9.33969 |G|||||1|0|0|0|0|0|0
2225|ABELL 0085:[SDG98] A328| 10.43179 |  -9.42953 |G|||||1|0|0|0|0|0|0
2226|ABELL 0085:[SDG98] 1864| 10.43183 |  -9.44606 |G|||||1|0|0|0|0|0|0
2227|ABELL 0085:[SDG98] 1865| 10.43192 | -10.20050 |G|||||1|0|0|0|0|0|0
2228|ABELL 0085:[SDG98] A329| 10.43200 |  -9.44606 |G|||||1|0|0|0|0|0|0
2229|ABELL 0085:[SDG98] A330| 10.43208 |  -9.46419 |G|||||1|0|0|0|0|0|0
2230|APMUKS(BJ) B003912.03-101308.0| 10.43208 |  -9.94475 |G|||||1|0|1|1|0|0|0
2231|APMUKS(BJ) B003911.83-091139.3| 10.43208 |  -8.92008 |G|||||1|0|1|1|0|0|0
2232|APMUKS(BJ) B003911.97-095131.3| 10.43225 |  -9.58450 |G|||||1|0|1|1|0|0|0
2233|ABELL 0085:[SDG98] A331| 10.43242 |  -9.20922 |G|||||1|0|0|0|0|0|0
2234|ABELL 0085:[SDG98] A332| 10.43250 |  -9.30839 |G|||||1|0|0|0|0|0|0
2235|ABELL 0085:[SDG98] A333| 10.43304 |  -9.40167 |G|||||1|0|0|0|0|0|0
2236|ABELL 0085:[SDG98] 1869| 10.43317 |  -9.37464 |G|||||1|0|0|0|0|0|0
2237|ABELL 0085:[SDG98] A334| 10.43325 |  -9.37519 |G|||||1|0|0|0|0|0|0
2238|ABELL 0085:[SDG98] 1870| 10.43333 |  -9.43033 |G|||||1|0|0|0|0|0|0
2239|ABELL 0085:[SDG98] A335| 10.43337 |  -9.44847 |G|||||1|0|0|0|0|0|0
2240|SDSS J004144.02-084603.0| 10.43344 |  -8.76752 |G|  4978| 0.016606 |    ||3|0|24|2|2|4|0
2241|ABELL 0085:[SDG98] A336| 10.43346 |  -9.23992 |G|||||1|0|0|0|0|0|0
2242|ABELL 0085:[SDG98] A339| 10.43346 |  -9.46408 |G|||||1|0|0|0|0|0|0
2243|ABELL 0085:[SDG98] A337| 10.43346 |  -9.22294 |G|||||1|0|0|0|0|0|0
2244|ABELL 0085:[SDG98] A338| 10.43346 |  -9.25708 |G|||||1|0|0|0|0|0|0
2245|ABELL 0085:[SDG98] A340| 10.43346 |  -9.43014 |G|||||1|0|0|0|0|0|0
2246|ABELL 0085:[SPS89] 32ii| 10.43354 |  -9.18060 |RadioS|||||2|0|0|0|0|0|0
2247|APMUKS(BJ) B003912.42-101754.4| 10.43375 | -10.02436 |G|  3948| 0.013169 |    ||2|0|1|1|0|0|0
2248|ABELL 0085:[SDG98] A342| 10.43392 |  -9.48114 |G|||||1|0|0|0|0|0|0
2249|APMUKS(BJ) B003912.37-093203.7| 10.43392 |  -9.26034 |G| 38278| 0.127681 |    ||2|0|1|1|0|0|0
2250|[SRA96] 003912.21-092704.0| 10.43396 |  -9.17703 |G|||||2|0|0|0|0|0|0
2251|ABELL 0085:[SDG98] A343| 10.43442 |  -9.38192 |G|||||1|0|0|0|0|0|0
2252|ABELL 0085:[SDG98] A344| 10.43442 |  -9.42292 |G|||||1|0|0|0|0|0|0
2253|ABELL 0085:[SDG98] A345| 10.43454 |  -9.21247 |G|||||1|0|0|0|0|0|0
2254|ABELL 0085:[SDG98] A346| 10.43467 |  -9.44858 |G|||||1|0|0|0|0|0|0
2255|APMUKS(BJ) B003912.63-094252.3| 10.43504 |  -9.44017 |G| 17457| 0.058230 |    ||2|0|1|1|0|0|0
2256|ABELL 0085:[SDG98] A347| 10.43504 |  -9.31311 |G|||||1|0|0|0|0|0|0
2257|ABELL 0085:[SDG98] A350| 10.43529 |  -9.44031 |G|||||1|0|0|0|0|0|0
2258|ABELL 0085:[SDG98] A349| 10.43529 |  -9.20661 |G|||||1|0|0|0|0|0|0
2259|ABELL 0085:[SDG98] 1876| 10.43550 |  -9.43514 |G|||||1|0|0|0|0|0|0
2260|ABELL 0085:[DLF2005] 11| 10.43558 |  -9.47396 |XrayS|||||1|0|0|0|0|0|0
2261|APMUKS(BJ) B003912.80-094358.4| 10.43558 |  -9.45872 |G| 16416| 0.054758 |    ||4|0|1|1|0|0|0
2262|ABELL 0085:[SDG98] A351| 10.43558 |  -9.33981 |G|||||1|0|0|0|0|0|0
2263|ABELL 0085:[SDG98] A352| 10.43558 |  -9.24275 |G|||||1|0|0|0|0|0|0
2264|ABELL 0085:[SDG98] A353| 10.43558 |  -9.18461 |G|||||1|0|0|0|0|0|0
2265|ABELL 0085:[SDG98] A354| 10.43558 |  -9.43528 |G|||||1|0|0|0|0|0|0
2266|ABELL 0085:[SDG98] A355| 10.43567 |  -9.30861 |G|||||1|0|0|0|0|0|0
2267|ABELL 0085:[SDG98] 1878| 10.43592 |  -9.33983 |G|||||1|0|0|0|0|0|0
2268|ABELL 0085:[SDG98] A356| 10.43604 |  -9.44972 |G|||||1|0|0|0|0|0|0
2269|APMUKS(BJ) B003912.84-092854.6| 10.43608 |  -9.20775 |G|||||1|0|1|1|0|0|0
2270|ABELL 0085:[SDG98] A359| 10.43633 |  -9.18828 |G|||||1|0|0|0|0|0|0
2271|ABELL 0085:[SDG98] A360| 10.43654 |  -9.24117 |G|||||1|0|0|0|0|0|0
2272|ABELL 0085:[SDG98] A361| 10.43667 |  -9.46878 |G|||||1|0|0|0|0|0|0
2273|SDSS J004144.80-092017.4| 10.43668 |  -9.33817 |G| 13916| 0.046418 |    ||12|0|22|3|4|4|0
2274|ABELL 0085:[SDG98] 1881| 10.43675 |  -9.63725 |G|||||1|0|0|0|0|0|0
2275|ABELL 0085:[SDG98] 1882| 10.43704 |  -9.24175 |G|||||1|0|0|0|0|0|0
2276|ABELL 0085:[SDG98] A362| 10.43708 |  -9.46356 |G|||||1|0|0|0|0|0|0
2277|ABELL 0085:[SDG98] A363| 10.43717 |  -9.38097 |G|||||1|0|0|0|0|0|0
2278|ABELL 0085:[SDG98] A366| 10.43758 |  -9.32506 |G|||||1|0|0|0|0|0|0
2279|ABELL 0085:[SDG98] 1883| 10.43763 |  -9.65547 |G|||||1|0|0|0|0|0|0
2280|ABELL 0085:[SDG98] A364| 10.43763 |  -9.27833 |G|||||1|0|0|0|0|0|0
2281|ABELL 0085:[SDG98] A365| 10.43763 |  -9.18828 |G|||||1|0|0|0|0|0|0
2282|ABELL 0085:[SDG98] A368| 10.43771 |  -9.38483 |G|||||1|0|0|0|0|0|0
2283|ABELL 0085:[SDG98] A367| 10.43771 |  -9.31886 |G|||||1|0|0|0|0|0|0
2284|ABELL 0085:[SDG98] A370| 10.43792 |  -9.34147 |G|||||1|0|0|0|0|0|0
2285|ABELL 0085:[SDG98] A369| 10.43792 |  -9.36158 |G|||||1|0|0|0|0|0|0
2286|APMUKS(BJ) B003913.39-093536.0| 10.43829 |  -9.31925 |G|||||1|0|1|1|0|0|0
2287|ABELL 0085:[SDG98] A371| 10.43854 |  -9.29175 |G|||||1|0|0|0|0|0|0
2288|APMUKS(BJ) B003913.69-102315.3| 10.43875 | -10.11347 |G|||||1|0|1|1|0|0|0
2289|ABELL 0085:[SDG98] A372| 10.43875 |  -9.34831 |G|||||1|0|0|0|0|0|0
2290|ABELL 0085:[SDG98] A373| 10.43879 |  -9.48608 |G|||||1|0|0|0|0|0|0
2291|APMUKS(BJ) B003913.57-095953.7| 10.43879 |  -9.72406 |G|||||1|0|1|1|0|0|0
2292|ABELL 0085:[SDG98] 1887| 10.43883 |  -9.34819 |G|||||1|0|0|0|0|0|0
2293|APMUKS(BJ) B003913.49-092431.9| 10.43892 |  -9.13475 |G|||||1|0|1|1|0|0|0
2294|ABELL 0085:[SDG98] 1889| 10.43908 |  -9.49419 |G|||||1|0|0|0|0|0|0
2295|SDSS J004145.45-094033.0| 10.43913 |  -9.67593 |G| 17072| 0.056947 |    ||10|0|21|3|3|4|0
2296|APMUKS(BJ) B003913.45-084935.0| 10.43913 |  -8.55225 |G|||||1|0|1|1|0|0|0
2297|ABELL 0085:[SDG98] 1891| 10.43917 |  -8.54128 |G|||||1|0|0|0|0|0|0
2298|ABELL 0085:[SDG98] A374| 10.43921 |  -9.30094 |G|||||1|0|0|0|0|0|0
2299|ABELL 0085:[SDG98] 1893| 10.43933 |  -9.61872 |G|||||1|0|0|0|0|0|0
2300|ABELL 0085:[SDG98] 1894| 10.43942 |  -9.14192 |G|||||1|0|0|0|0|0|0
2301|ABELL 0085:[SDG98] A375| 10.43950 |  -9.26975 |G|||||1|0|0|0|0|0|0
2302|ABELL 0085:[SDG98] A376| 10.43950 |  -9.27625 |G|||||1|0|0|0|0|0|0
2303|ABELL 0085:[SDG98] 1895| 10.43958 |  -9.27642 |G|||||1|0|0|0|0|0|0
2304|ABELL 0085:[SDG98] A377| 10.43962 |  -9.41611 |G|||||1|0|0|0|0|0|0
2305|APMUKS(BJ) B003913.54-084750.2| 10.43967 |  -8.52314 |G|||||1|0|1|1|0|0|0
2306|ABELL 0085:[SDG98] A378| 10.43983 |  -9.21414 |G|||||1|0|0|0|0|0|0
2307|ABELL 0085:[SDG98] A379| 10.43992 |  -9.29697 |G|||||1|0|0|0|0|0|0
2308|ABELL 0085:[SDG98] A380| 10.43992 |  -9.30442 |G|||||1|0|0|0|0|0|0
2309|ABELL 0085:[SDG98] 1897| 10.44021 |  -8.83489 |G|||||1|0|0|0|0|0|0
2310|ABELL 0085:[SDG98] 1898| 10.44046 |  -9.30511 |G|||||1|0|0|0|0|0|0
2311|ABELL 0085:[SDG98] A381| 10.44058 |  -9.19750 |G|||||1|0|0|0|0|0|0
2312|ABELL 0085:[SDG98] A382| 10.44079 |  -9.29561 |G|||||1|0|0|0|0|0|0
2313|2MASX J00414585-0909449| 10.44083 |  -9.16260 |G| 15486| 0.051655 |    ||13|0|30|3|4|6|0
2314|SDSS J004145.85-092634.7| 10.44092 |  -9.44297 |G| 15975| 0.053288 |    ||8|0|21|2|1|4|0
2315|ABELL 0085:[SDG98] A383| 10.44100 |  -9.39872 |G|||||1|0|0|0|0|0|0
2316|ABELL 0085:[SDG98] A384| 10.44112 |  -9.25311 |G|||||1|0|0|0|0|0|0
2317|NVSS J004145-093226| 10.44117 |  -9.54505 |RadioS|||||2|0|1|0|0|0|0
2318|APMUKS(BJ) B003914.14-094511.5| 10.44133 |  -9.47903 |G| 16834| 0.056152 |    ||5|0|1|1|0|0|0
2319|ABELL 0085:[SDG98] A386| 10.44142 |  -9.25406 |G|||||1|0|0|0|0|0|0
2320|APMUKS(BJ) B003914.17-094146.8| 10.44150 |  -9.42214 |G|||||1|0|1|1|0|0|0
2321|ABELL 0085:[SDG98] A387| 10.44154 |  -9.42522 |G|||||1|0|0|0|0|0|0
2322|ABELL 0085:[SDG98] A388| 10.44163 |  -9.29908 |G|||||1|0|0|0|0|0|0
2323|ABELL 0085:[SDG98] 1903| 10.44167 |  -9.25447 |G|||||1|0|0|0|0|0|0
2324|APMUKS(BJ) B003914.07-084949.5| 10.44171 |  -8.55628 |G|||||1|0|1|1|0|0|0
2325|ABELL 0085:[SDG98] A389| 10.44175 |  -9.42178 |G|||||1|0|0|0|0|0|0
2326|ABELL 0085:[SDG98] A391| 10.44196 |  -9.48450 |G|||||1|0|0|0|0|0|0
2327|ABELL 0085:[SDG98] A390| 10.44196 |  -9.39664 |G|||||1|0|0|0|0|0|0
2328|ABELL 0085:[SDG98] 1905| 10.44213 |  -9.29986 |G|||||1|0|0|0|0|0|0
2329|ABELL 0085:[SDG98] A393| 10.44229 |  -9.20139 |G|||||1|0|0|0|0|0|0
2330|ABELL 0085:[SDG98] A394| 10.44250 |  -9.45214 |G|||||1|0|0|0|0|0|0
2331|ABELL 0085:[SDG98] 1906| 10.44288 |  -9.10608 |G|||||1|0|0|0|0|0|0
2332|ABELL 0085:[SDG98] A396| 10.44333 |  -9.45475 |G|||||1|0|0|0|0|0|0
2333|ABELL 0085:[SDG98] A395| 10.44333 |  -9.19100 |G|||||1|0|0|0|0|0|0
2334|ABELL 0085:[SDG98] 1907| 10.44350 |  -8.52058 |G|||||1|0|0|0|0|0|0
2335|ABELL 0085:[SDG98] A397| 10.44354 |  -9.21761 |G|||||1|0|0|0|0|0|0
2336|ABELL 0085:[DLF2005] 12| 10.44369 |  -9.49263 |XrayS|||||1|0|0|0|0|0|0
2337|APMUKS(BJ) B003914.67-091512.1| 10.44396 |  -8.97926 |G| 16774| 0.055952 |    ||4|0|1|1|0|0|0
2338|ABELL 0085:[SDG98] A398| 10.44396 |  -9.37417 |G|||||1|0|0|0|0|0|0
2339|APMUKS(BJ) B003914.76-094002.0| 10.44404 |  -9.39300 |G|||||1|0|1|1|0|0|0
2340|ABELL 0085:[SDG98] A400| 10.44408 |  -9.39203 |G|||||1|0|0|0|0|0|0
2341|ABELL 0085:[SDG98] A399| 10.44408 |  -9.31550 |G|||||1|0|0|0|0|0|0
2342|ABELL 0085:[SDG98] A401| 10.44417 |  -9.19331 |G|||||1|0|0|0|0|0|0
2343|ABELL 0085:[SDG98] 1910| 10.44471 |  -9.19475 |G|||||1|0|0|0|0|0|0
2344|2MASX J00414681-0923129| 10.44479 |  -9.38704 |G| 17663| 0.058916 |    ||13|0|32|3|4|6|0
2345|ABELL 0085:[SDG98] A402| 10.44483 |  -9.46103 |G|||||1|0|0|0|0|0|0
2346|ABELL 0085:[SDG98] A403| 10.44492 |  -9.25708 |G|||||1|0|0|0|0|0|0
2347|ABELL 0085:[SDG98] 1912| 10.44542 |  -9.36744 |G|||||1|0|0|0|0|0|0
2348|ABELL 0085:[SDG98] A405| 10.44546 |  -9.19728 |G|||||1|0|0|0|0|0|0
2349|ABELL 0085:[SDG98] A406| 10.44592 |  -9.48136 |G|||||1|0|0|0|0|0|0
2350|ABELL 0085:[SDG98] A407| 10.44600 |  -9.23614 |G|||||1|0|0|0|0|0|0
2351|ABELL 0085:[SDG98] A408| 10.44608 |  -9.22275 |G|||||1|0|0|0|0|0|0
2352|ABELL 0085:[SDG98] A409| 10.44613 |  -9.46450 |G|||||1|0|0|0|0|0|0
2353|ABELL 0085:[SDG98] A410| 10.44633 |  -9.39664 |G|||||1|0|0|0|0|0|0
2354|APMUKS(BJ) B003915.15-083850.3| 10.44637 |  -8.37328 |G|||||1|0|1|1|0|0|0
2355|ABELL 0085:[SDG98] A411| 10.44654 |  -9.26200 |G|||||1|0|0|0|0|0|0
2356|ABELL 0085:[SDG98] A412| 10.44654 |  -9.40417 |G|||||1|0|0|0|0|0|0
2357|ABELL 0085:[SDG98] A413| 10.44662 |  -9.33950 |G|||||1|0|0|0|0|0|0
2358|ABELL 0085:[SDG98] 1914| 10.44671 |  -9.37667 |G|||||1|0|0|0|0|0|0
2359|ABELL 0085:[SDG98] A414| 10.44675 |  -9.24306 |G|||||1|0|0|0|0|0|0
2360|2MASX J00414720-0908139| 10.44682 |  -9.13707 |G| 16588| 0.055332 |    ||11|0|31|3|3|6|0
2361|ABELL 0085:[SDG98] A415| 10.44683 |  -9.37719 |G|||||1|0|0|0|0|0|0
2362|ABELL 0085:[SDG98] A416| 10.44696 |  -9.26369 |G|||||1|0|0|0|0|0|0
2363|ABELL 0085:[SDG98] 1916| 10.44704 |  -9.26400 |G|||||1|0|0|0|0|0|0
2364|ABELL 0085:[SDG98] A417| 10.44737 |  -9.46378 |G|||||1|0|0|0|0|0|0
2365|ABELL 0085:[SDG98] A418| 10.44746 |  -9.21153 |G|||||1|0|0|0|0|0|0
2366|ABELL 0085:[SDG98] A419| 10.44746 |  -9.29247 |G|||||1|0|0|0|0|0|0
2367|ABELL 0085:[SDG98] 1917| 10.44763 |  -8.76367 |G|||||1|0|0|0|0|0|0
2368|ABELL 0085:[SDG98] A420| 10.44771 |  -9.24369 |G|||||1|0|0|0|0|0|0
2369|ABELL 0085:[SDG98] 1918| 10.44792 |  -9.24442 |G|||||1|0|0|0|0|0|0
2370|ABELL 0085:[SDG98] A421| 10.44804 |  -9.43100 |G|||||1|0|0|0|0|0|0
2371|ABELL 0085:[SDG98] A422| 10.44804 |  -9.44911 |G|||||1|0|0|0|0|0|0
2372|ABELL 0085:[SDG98] A423| 10.44833 |  -9.48450 |G|||||1|0|0|0|0|0|0
2373|APMUKS(BJ) B003915.89-091655.3| 10.44846 |  -9.00788 |G| 15207| 0.050725 |    ||5|0|1|2|1|0|0
2374|APMUKS(BJ) B003915.84-091408.8| 10.44871 |  -8.96169 |G|||||1|0|1|1|0|0|0
2375|ABELL 0085:[SDG98] A424| 10.44921 |  -9.47319 |G|||||1|0|0|0|0|0|0
2376|ABELL 0085:[SDG98] 1922| 10.44925 |  -9.23306 |G|||||1|0|0|0|0|0|0
2377|APMUKS(BJ) B003915.95-092530.6| 10.44933 |  -9.15098 |G| 15434| 0.051482 |    ||2|0|1|1|0|0|0
2378|ABELL 0085:[SDG98] 1923| 10.44937 |  -9.47886 |G|||||1|0|0|0|0|0|0
2379|APMUKS(BJ) B003916.15-093919.6| 10.44967 |  -9.38128 |G| 17216| 0.057426 |    ||2|0|1|1|0|0|0
2380|ABELL 0085:[SDG98] A425| 10.44992 |  -9.35928 |G|||||1|0|0|0|0|0|0
2381|ABELL 0085:[SDG98] A426| 10.45000 |  -9.38192 |G|||||1|0|0|0|0|0|0
2382|2MASX J00414809-0927299| 10.45017 |  -9.45844 |G| 17186| 0.057325 |    ||12|0|31|3|3|6|0
2383|NVSS J004148-092041| 10.45021 |  -9.34564 |RadioS|||||2|0|1|0|0|0|0
2384|ABELL 0085:[SDG98] A427| 10.45025 |  -9.47917 |G|||||1|0|0|0|0|0|0
2385|ABELL 0085:[SDG98] 1925| 10.45033 | -10.25106 |G|||||1|0|0|0|0|0|0
2386|ABELL 0085:[SDG98] 1927| 10.45037 |  -8.83753 |G|||||1|0|0|0|0|0|0
2387|APMUKS(BJ) B003916.37-094256.7| 10.45067 |  -9.44156 |G|||||1|0|1|1|0|0|0
