Name1                RA          DEC       z       Morp     R50   IC     L_K     L_Age   O3Hb    N2Hb   Act  L_Ha  Sigma L5100  Bulge   MB       O/H     BMAG    
J073836.50+373800.6  114.65212  +37.63351  0.0130  LateS    6.3   2.16   10.14    8.88  -0.593  -0.438  SFG  6.04    88  41.82   8.84   10.49   +0.42   -18.31   
J082959.96+524149.8  127.49987  +52.69719  0.0141  EarlyS   5.2   1.90   10.49    8.37  -0.890  -0.416  SFG  7.08    98  42.35   8.96   10.66   +0.62   -18.35   
J025017.75-083548.5  042.57398  -08.59682  0.0178  EarlyS   8.5   2.83   10.80    9.87   0.300   0.210  AGN  5.62   139  42.02   9.37   10.45   -0.20   -17.84   
J030848.32-070226.1  047.20135  -07.04061  0.0289  LateS   14.0   2.58   11.02    9.17  -0.398  -0.276  TO   6.78   126  42.77   9.49   10.98   +0.28   -19.53   
J032501.68-054444.8  051.25702  -05.74580  0.0189  EarlyS  14.9   2.70   11.36   10.04   0.097   0.056  AGN  5.92   174  42.78   9.59   10.61   -0.06   -18.25   
J033358.81-070826.6  053.49505  -07.14073  0.0341  EarlyS  18.0   2.94   11.09    9.04  -0.134  -0.250  TO   6.56   142  42.70   9.67   10.85   +0.10   -18.82   
J034626.96-063152.5  056.61237  -06.53126  0.0281  LateS   11.2   2.29   10.83    8.70  -0.295  -0.430  SFG  6.69    97  42.67   9.26   11.06   +0.21   -19.73     
J091650.03+003421.7  139.20847  +00.57271  0.0284  EarlyS   7.3   2.66   10.64    9.19  -0.336  -0.366  SFG  6.52   106  42.59   9.34   10.66   +0.24   -18.34   
J092238.17+605155.6  140.65906  +60.86545  0.0259  LateS    9.3   2.05   10.65    9.50   0.276  -0.223  TO   5.90    92  42.48   9.17   10.92   -0.18   -19.39   
J095056.24+621108.5  147.73434  +62.18571  0.0246  EarlyS   9.8   2.58   10.79    9.43  -0.172  -0.180  TO   6.24   126  42.65   9.42   10.98   +0.13   -19.15   
J114439.05+675720.9  176.16273  +67.95583  0.0090  EarlyS   2.8   2.61   10.21    8.66  -0.630  -0.310  SFG  6.60   104  41.90   8.82   10.09   +0.44   -16.94   
