PSO Pan-STARRS1    Identifier RAdeg    DECdeg     Period    PM
PSO J011.2343+41.9751 2227868 11.23434 41.97507   2.937002  0.000244
PSO J011.2083+41.9766 2228266 11.20833 41.97656   2.598159  0.000398
PSO J011.0494+41.9789 2228903 11.04939 41.97886   2.689191  0.000157
PSO J011.0528+41.9868 2231495 11.05282 41.98685   2.858643  0.000300
PSO J011.1603+41.9979 2235105 11.16027 41.99787   2.781848  0.000283
PSO J011.2032+41.3947  224086 11.20316 41.39469   2.538743  0.000132
PSO J010.9437+42.0187 2241545 10.94368 42.01866   2.896304  0.000304
PSO J010.9651+42.0222 2242645 10.96514 42.02217   2.694321  0.000213
PSO J011.1435+42.0808 2259780 11.14347 42.08084   2.344643  0.000188
PSO J011.2821+42.0848 2260991 11.28206 42.08480   2.794442  0.000243
PSO J011.1320+42.0986 2264762 11.13202 42.09859   2.552693  0.000115
PSO J011.2645+42.0992 2265031 11.26453 42.09920   2.306705  0.000165
PSO J011.3247+42.1182 2270633 11.32472 42.11824   2.911342  0.000343
PSO J011.2335+42.1294 2273766 11.23348 42.12942   2.814737  0.000248
PSO J010.9018+42.1378 2275950 10.90177 42.13780   2.855818  0.000304
PSO J011.3015+42.1491 2278907 11.30153 42.14909   2.520224  0.000412
PSO J010.8066+41.8422 2289124 10.80659 41.84220   2.776428  0.000150
PSO J010.7839+41.8737 2296700 10.78385 41.87373   2.199257  0.000101
PSO J011.2121+41.4269  232660 11.21205 41.42691   2.706004  0.000254
PSO J011.8085+42.2563 2421907 11.80854 42.25630   2.102314  0.000130
PSO J012.0424+42.2751 2425617 12.04242 42.27509   2.904843  0.000263
PSO J012.3025+42.3110 2432299 12.30248 42.31104   2.561228  0.000496
PSO J012.1089+42.3455 2437728 12.10894 42.34554   2.719231  0.000382
PSO J011.9926+42.3735 2441826 11.99261 42.37352   2.035566  0.000206
PSO J011.9374+42.4107 2446408 11.93738 42.41072   2.325237  0.289441
PSO J012.0997+42.4093 2446432 12.09973 42.40929   2.230193  0.000369
PSO J011.9832+42.4773 2454466 11.98320 42.47728   2.803537  0.000561
PSO J011.9981+42.4829 2455061 11.99811 42.48290   2.796649  0.000718
PSO J011.9391+42.4994 2456875 11.93913 42.49936   2.679672  0.553285
PSO J011.9147+42.5454 2460489 11.91474 42.54535   2.207047  0.007345
PSO J011.8774+42.2013 2468072 11.87738 42.20130   2.731147  0.000392
PSO J011.4598+42.2084 2468924 11.45980 42.20835   2.723075  0.000154
PSO J011.4548+42.2128 2469923 11.45480 42.21275   2.115409  0.000168
PSO J011.6276+42.2182 2471694 11.62757 42.21822   2.899851  0.000216
PSO J011.6177+42.2281 2474714 11.61767 42.22807   2.868408  0.000235
PSO J011.5631+42.2334 2476123 11.56305 42.23338   2.856801  0.000164
